user	files	size_mb	first_file	last_file
10_M	9	0.2	log_11-29-2013.txt	log_12-7-2013.txt
11_F	61	26.4	log_1-1-2014.txt	log_12-9-2013.txt
12_M	56	16.2	log_1-10-2014.txt	log_12-9-2013.txt
13_F	52	152.5	log_1-2-2014.txt	log_12-7-2013.txt
14_F	70	3.8	log_1-1-2014.txt	log_12-9-2013.txt
15_F	24	3.7	log_11-24-2013.txt	log_12-7-2013.txt
16_F	55	67.4	log_1-10-2014.txt	log_12-9-2013.txt
17_F	57	13.0	log_1-1-2014.txt	log_12-9-2013.txt
18_F	65	76.3	log_1-1-2014.txt	log_12-9-2013.txt
19_F	57	106.6	log_1-1-2014.txt	log_12-9-2013.txt
1_M	30	230.0	log_11-1-2014.txt	log_11-9-2014.txt
20_M	69	3.6	log_1-1-2014.txt	log_12-9-2013.txt
21_F	35	61.9	log_1-10-2014.txt	log_12-6-2013.txt
22_M	49	12.1	log_1-1-2014.txt	log_12-9-2013.txt
23_F	28	39.3	log_1-1-2000.txt	log_12-9-2013.txt
24_F	51	150.7	log_1-1-2014.txt	log_12-9-2013.txt
25_F	8	0.1	log_11-22-2013.txt	log_11-29-2013.txt
26_F	48	2.7	log_1-1-2014.txt	log_12-9-2013.txt
27_F	55	15.8	log_1-1-2014.txt	log_12-9-2013.txt
28_F	73	112.1	log_1-1-2014.txt	log_12-9-2013.txt
29_F	57	18.6	log_1-1-2014.txt	log_12-9-2013.txt
2_F	27	87.1	log_11-1-2014.txt	log_11-9-2014.txt
30_F	30	7.0	log_1-1-2014.txt	log_12-31-2013.txt
31_F	67	28.8	log_1-1-2011.txt	log_12-9-2013.txt
32_F	42	5.9	log_#U06f1#U06f1-#U06f2#U06f2-#U06f2#U06f0#U06f1#U06f3.txt	log_█▒-█▒█▓-█▓█░█▒█┤.txt
33_F	61	167.7	log_1-1-2014.txt	log_12-9-2013.txt
34_F	46	36.7	log_1-1-2014.txt	log_█▒█▒-█▓█▓-█▓█░█▒█│.txt
35_F	111	281.3	log_2-12-2015.txt	log_6-9-2015.txt
3_M	53	5.0	log_1-1-2014.txt	log_12-9-2013.txt
4_F	38	46.8	log_11-12-2013.txt	log_12-9-2013.txt
5_F	55	72.0	log_1-1-2014.txt	log_7-6-2013.txt
6_M	57	75.4	log_1-1-2014.txt	log_12-9-2013.txt
7_F	49	41.1	log_1-1-2014.txt	log_12-9-2013.txt
8_M	52	26.5	log_1-1-2014.txt	log_12-9-2013.txt
9_M	21	2.4	log_12-11-2013.txt	log_12-31-2013.txt
