user_id,variant,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
31_F,GraphOnly,0.9927,0.8251,0.9573,0.8863,2407.16,87.12
31_F,Graph+Confidence,0.9919,0.8835,0.9706,0.925,2405.87,87.07
31_F,Graph+RL,0.9927,0.8269,0.9488,0.8837,2407.06,87.12
31_F,Full GraphMind,0.9923,0.8731,0.961,0.915,2406.46,87.1
5_F,GraphOnly,0.9022,0.4207,0.7813,0.5469,1762.88,63.8
5_F,Graph+Confidence,0.8795,0.4134,0.776,0.5394,1729.82,62.61
5_F,Graph+RL,0.9002,0.4341,0.7533,0.5508,1759.93,63.7
5_F,Full GraphMind,0.8785,0.4358,0.7566,0.5531,1728.35,62.55
2_F,GraphOnly,0.9618,0.7131,0.924,0.805,1693.55,61.29
2_F,Graph+Confidence,0.9581,0.6827,0.912,0.7809,1689.48,61.15
2_F,Graph+RL,0.9609,0.7486,0.9221,0.8263,1692.19,61.24
2_F,Full GraphMind,0.959,0.6263,0.8688,0.7279,1690.84,61.2
35_F,GraphOnly,0.9885,0.6883,0.9146,0.7854,2364.26,85.57
35_F,Graph+Confidence,0.9803,0.7532,0.9351,0.8344,2352.34,85.14
35_F,Graph+RL,0.9871,0.6977,0.9008,0.7864,2362.27,85.5
35_F,Full GraphMind,0.981,0.7578,0.9232,0.8324,2353.34,85.17
19_F,GraphOnly,0.9416,0.7183,0.9247,0.8085,1777.1,64.32
19_F,Graph+Confidence,0.945,0.6981,0.9173,0.7928,1781.94,64.49
19_F,Graph+RL,0.9474,0.7357,0.9155,0.8159,1785.07,64.61
19_F,Full GraphMind,0.9435,0.7053,0.9031,0.7921,1779.76,64.41
34_F,GraphOnly,0.976,0.637,0.8958,0.7446,2258.69,81.75
34_F,Graph+Confidence,0.9692,0.665,0.9024,0.7657,2247.88,81.36
34_F,Graph+RL,0.976,0.6658,0.8889,0.7613,2258.69,81.75
34_F,Full GraphMind,0.9623,0.6715,0.8864,0.7641,2237.87,80.99
28_F,GraphOnly,0.8661,0.3903,0.7597,0.5157,1822.36,65.96
28_F,Graph+Confidence,0.8613,0.425,0.7847,0.5514,1815.92,65.72
28_F,Graph+RL,0.8594,0.3879,0.7212,0.5045,1812.59,65.6
28_F,Full GraphMind,0.8631,0.4428,0.7638,0.5606,1818.52,65.82
33_F,GraphOnly,0.9119,0.6473,0.9007,0.7533,2024.0,73.25
33_F,Graph+Confidence,0.9065,0.6504,0.9003,0.7552,2016.84,72.99
33_F,Graph+RL,0.9124,0.6803,0.8953,0.7731,2024.77,73.28
33_F,Full GraphMind,0.9054,0.6694,0.8901,0.7641,2015.47,72.95
18_F,GraphOnly,0.9518,0.7535,0.9374,0.8355,1444.72,52.29
18_F,Graph+Confidence,0.9503,0.7573,0.9374,0.8377,1442.95,52.22
18_F,Graph+RL,0.9563,0.7504,0.9225,0.8276,1451.45,52.53
18_F,Full GraphMind,0.9527,0.7239,0.9112,0.8069,1446.46,52.35
11_F,GraphOnly,0.9345,0.5512,0.8568,0.6708,1846.39,66.83
11_F,Graph+Confidence,0.9296,0.5136,0.8375,0.6367,1839.15,66.56
11_F,Graph+RL,0.9375,0.5524,0.8294,0.6631,1850.7,66.98
11_F,Full GraphMind,0.9311,0.5222,0.8121,0.6356,1841.43,66.65
14_F,GraphOnly,0.9811,0.7797,0.928,0.8474,2351.96,85.12
14_F,Graph+Confidence,0.9725,0.7906,0.9285,0.854,2339.4,84.67
14_F,Graph+RL,0.9777,0.7916,0.9217,0.8517,2346.94,84.94
14_F,Full GraphMind,0.9725,0.797,0.9207,0.8544,2339.4,84.67
20_M,GraphOnly,0.8979,0.319,0.6964,0.4376,2035.95,73.69
20_M,Graph+Confidence,0.8944,0.4775,0.8102,0.6009,2030.8,73.5
20_M,Graph+RL,0.8908,0.354,0.6878,0.4674,2025.65,73.31
20_M,Full GraphMind,0.8908,0.5107,0.8024,0.6241,2025.65,73.31
12_M,GraphOnly,0.8417,0.42,0.7834,0.5469,1414.12,51.18
12_M,Graph+Confidence,0.8771,0.3854,0.7578,0.5109,1465.69,53.05
12_M,Graph+RL,0.8537,0.4315,0.7582,0.55,1430.6,51.78
12_M,Full GraphMind,0.8794,0.3939,0.7265,0.5109,1469.09,53.17
16_F,GraphOnly,0.9446,0.6616,0.8832,0.7565,2155.01,78.0
16_F,Graph+Confidence,0.9407,0.6547,0.879,0.7504,2149.47,77.79
16_F,Graph+RL,0.9431,0.6916,0.8771,0.7734,2152.73,77.91
16_F,Full GraphMind,0.9368,0.6689,0.8662,0.7549,2143.77,77.59
21_F,GraphOnly,0.9096,0.3575,0.7299,0.4799,1907.51,69.04
21_F,Graph+Confidence,0.8986,0.4035,0.7616,0.5275,1890.31,68.42
21_F,Graph+RL,0.9178,0.392,0.7196,0.5076,1918.98,69.45
21_F,Full GraphMind,0.8986,0.435,0.75,0.5507,1890.31,68.42
7_F,GraphOnly,0.9668,0.7642,0.9402,0.8431,1866.29,67.55
7_F,Graph+Confidence,0.9633,0.711,0.9232,0.8033,1861.9,67.39
7_F,Graph+RL,0.9616,0.7603,0.9256,0.8348,1858.69,67.27
7_F,Full GraphMind,0.9613,0.7232,0.9114,0.8065,1858.79,67.27
6_M,GraphOnly,0.9487,0.5016,0.7966,0.6156,2101.34,76.05
6_M,Graph+Confidence,0.9316,0.5586,0.8192,0.6643,2077.05,75.17
6_M,Graph+RL,0.9416,0.5141,0.7753,0.6183,2092.33,75.73
6_M,Full GraphMind,0.9316,0.5914,0.8096,0.6835,2077.05,75.17
8_M,GraphOnly,0.9795,0.8416,0.9627,0.8981,2362.13,85.49
8_M,Graph+Confidence,0.9816,0.849,0.9628,0.9023,2365.64,85.62
8_M,Graph+RL,0.9826,0.8539,0.9581,0.903,2367.64,85.69
8_M,Full GraphMind,0.9816,0.839,0.9519,0.8919,2365.64,85.62
27_F,GraphOnly,0.6926,0.313,0.67,0.4267,1279.19,46.3
27_F,Graph+Confidence,0.7258,0.3184,0.6747,0.4327,1326.65,48.01
27_F,Graph+RL,0.7004,0.332,0.669,0.4438,1290.43,46.7
27_F,Full GraphMind,0.7237,0.3313,0.6632,0.4419,1323.55,47.9
24_F,GraphOnly,0.9845,0.8111,0.9535,0.8765,2038.58,73.78
24_F,Graph+Confidence,0.9786,0.7192,0.9253,0.8093,2030.23,73.48
24_F,Graph+RL,0.9833,0.8019,0.9403,0.8656,2036.79,73.72
24_F,Full GraphMind,0.9783,0.7148,0.9076,0.7998,2029.76,73.46
13_F,GraphOnly,0.956,0.5007,0.8258,0.6234,2068.6,74.87
13_F,Graph+Confidence,0.946,0.5619,0.8564,0.6786,2053.84,74.33
13_F,Graph+RL,0.9542,0.5173,0.804,0.6296,2066.1,74.78
13_F,Full GraphMind,0.9441,0.5622,0.8289,0.67,2051.16,74.24
