policy,hit_rate_mean,hit_rate_median,hit_rate_std,hit_rate_p50,hit_rate_p90,hit_rate_p95,hit_rate_p99,precision_mean,precision_median,precision_std,precision_p50,precision_p90,precision_p95,precision_p99,recall_mean,recall_median,recall_std,recall_p50,recall_p90,recall_p95,recall_p99,f1_mean,f1_median,f1_std,f1_p50,f1_p90,f1_p95,f1_p99,latency_saved_ms_mean,latency_saved_ms_median,latency_saved_ms_std,latency_saved_ms_p50,latency_saved_ms_p90,latency_saved_ms_p95,latency_saved_ms_p99,latency_saved_pct_mean,latency_saved_pct_median,latency_saved_pct_std,latency_saved_pct_p50,latency_saved_pct_p90,latency_saved_pct_p95,latency_saved_pct_p99,false_prefetch_rate_mean,false_prefetch_rate_median,false_prefetch_rate_std,false_prefetch_rate_p50,false_prefetch_rate_p90,false_prefetch_rate_p95,false_prefetch_rate_p99,thrash_rate_mean,thrash_rate_median,thrash_rate_std,thrash_rate_p50,thrash_rate_p90,thrash_rate_p95,thrash_rate_p99,memory_usage_mb_mean,memory_usage_mb_median,memory_usage_mb_std,memory_usage_mb_p50,memory_usage_mb_p90,memory_usage_mb_p95,memory_usage_mb_p99,prediction_latency_ms_mean,prediction_latency_ms_median,prediction_latency_ms_std,prediction_latency_ms_p50,prediction_latency_ms_p90,prediction_latency_ms_p95,prediction_latency_ms_p99
Random,0.7937,0.8375,0.1459,0.8375,0.9347,0.9505,0.9616,0.1382,0.1456,0.0233,0.1456,0.1597,0.162,0.1671,0.457,0.4709,0.06,0.4709,0.5046,0.5124,0.5538,0.2121,0.2225,0.034,0.2225,0.2426,0.2457,0.2568,1796.0652,1829.35,432.1201,1829.35,2284.14,2333.425,2386.93,54.9584,55.98,13.2227,55.98,69.89,71.4,73.037,0.9861,0.9876,0.0091,0.9876,0.9941,0.9957,0.9967,0.2622,0.1941,0.2116,0.1941,0.5425,0.627,0.7734,0.9078,0.789,0.4065,0.789,1.438,1.4845,2.0828,0.0052,0.0028,0.0067,0.0028,0.0095,0.0143,0.0307
LRU,0.928,0.9449,0.0556,0.9449,0.9769,0.9801,0.9894,0.1823,0.1779,0.0424,0.1779,0.1943,0.1986,0.3409,0.6995,0.7034,0.1146,0.7034,0.8475,0.9087,0.9381,0.2867,0.2829,0.0474,0.2829,0.3181,0.3276,0.4502,1991.2452,2012.6,289.4255,2012.6,2345.23,2385.135,2406.184,60.931,61.58,8.8568,61.58,71.76,72.985,73.629,0.8825,0.8777,0.0436,0.8777,0.9402,0.9515,0.9728,0.2622,0.1941,0.2116,0.1941,0.5425,0.627,0.7734,0.4148,0.398,0.2069,0.398,0.719,0.777,0.8312,0.003,0.002,0.0039,0.002,0.0057,0.0074,0.0179
LFU,0.9291,0.9443,0.0537,0.9443,0.9771,0.9801,0.9894,0.1845,0.1792,0.0418,0.1792,0.1939,0.1983,0.3409,0.7331,0.7409,0.1165,0.7409,0.8556,0.9113,0.9323,0.2922,0.2892,0.0462,0.2892,0.3191,0.3269,0.4501,1992.7342,2014.36,287.8848,2014.36,2345.39,2385.135,2406.184,60.9765,61.64,8.8096,61.64,71.77,72.985,73.629,0.87,0.8654,0.0409,0.8654,0.9295,0.9333,0.9502,0.2622,0.1941,0.2116,0.1941,0.5425,0.627,0.7734,0.4175,0.398,0.2059,0.398,0.719,0.777,0.8312,0.0163,0.0052,0.0297,0.0052,0.0296,0.0843,0.1235
MRU,0.928,0.9449,0.0556,0.9449,0.9769,0.9801,0.9894,0.1823,0.1779,0.0424,0.1779,0.1943,0.1986,0.3409,0.6995,0.7034,0.1146,0.7034,0.8475,0.9087,0.9381,0.2867,0.2829,0.0474,0.2829,0.3181,0.3276,0.4502,1991.2452,2012.6,289.4255,2012.6,2345.23,2385.135,2406.184,60.931,61.58,8.8568,61.58,71.76,72.985,73.629,0.8825,0.8777,0.0436,0.8777,0.9402,0.9515,0.9728,0.2622,0.1941,0.2116,0.1941,0.5425,0.627,0.7734,0.4148,0.398,0.2069,0.398,0.719,0.777,0.8312,0.0027,0.0017,0.0028,0.0017,0.0059,0.007,0.0129
Frequency,0.9291,0.9443,0.0537,0.9443,0.9771,0.9801,0.9894,0.1845,0.1792,0.0418,0.1792,0.1939,0.1983,0.3409,0.7331,0.7409,0.1165,0.7409,0.8556,0.9113,0.9323,0.2922,0.2892,0.0462,0.2892,0.3191,0.3269,0.4501,1992.7342,2014.36,287.8848,2014.36,2345.39,2385.135,2406.184,60.9765,61.64,8.8096,61.64,71.77,72.985,73.629,0.87,0.8654,0.0409,0.8654,0.9295,0.9333,0.9502,0.2622,0.1941,0.2116,0.1941,0.5425,0.627,0.7734,0.4175,0.398,0.2059,0.398,0.719,0.777,0.8312,0.0079,0.006,0.0067,0.006,0.0162,0.0218,0.0291
RecencyFrequency,0.928,0.9449,0.0556,0.9449,0.9769,0.9801,0.9894,0.1832,0.1782,0.0423,0.1782,0.1949,0.1986,0.341,0.7141,0.7359,0.1185,0.7359,0.8589,0.9141,0.9389,0.289,0.2871,0.0473,0.2871,0.3191,0.3277,0.4503,1991.2452,2012.6,289.4255,2012.6,2345.23,2385.135,2406.184,60.931,61.58,8.8568,61.58,71.76,72.985,73.629,0.8772,0.8661,0.0438,0.8661,0.9384,0.9504,0.9614,0.2622,0.1941,0.2116,0.1941,0.5425,0.627,0.7734,0.4148,0.398,0.2069,0.398,0.719,0.777,0.8312,0.022,0.01,0.0339,0.01,0.0483,0.06,0.151
Markov-1,0.938,0.956,0.0583,0.956,0.9845,0.9867,0.9914,0.1859,0.1893,0.0155,0.1893,0.1963,0.1999,0.2203,0.8115,0.841,0.1073,0.841,0.9239,0.9343,0.9575,0.3023,0.3094,0.0272,0.3094,0.3239,0.3288,0.3571,2005.739,2035.95,297.0993,2035.95,2362.13,2384.445,2406.401,61.3739,62.3,9.0909,62.3,72.28,72.96,73.636,0.8453,0.8366,0.0327,0.8366,0.9014,0.9073,0.9124,0.2622,0.1941,0.2116,0.1941,0.5425,0.627,0.7734,0.5322,0.492,0.2066,0.492,0.812,0.8865,1.0349,0.0011,0.0009,0.0006,0.0009,0.0021,0.0023,0.0026
Markov-2,0.9297,0.945,0.0682,0.945,0.9828,0.9865,0.9916,0.211,0.2098,0.0246,0.2098,0.2336,0.2555,0.2743,0.7939,0.8248,0.1149,0.8248,0.9202,0.9278,0.9557,0.3324,0.3351,0.0371,0.3351,0.3707,0.399,0.417,1993.8442,2009.59,310.9486,2009.59,2354.47,2388.38,2407.304,61.01,61.49,9.516,61.49,72.05,73.085,73.664,0.8281,0.8218,0.0416,0.8218,0.8938,0.8964,0.9005,0.2622,0.1941,0.2116,0.1941,0.5425,0.627,0.7734,0.6084,0.555,0.2479,0.555,0.953,1.059,1.2334,0.0015,0.001,0.0013,0.001,0.0032,0.0039,0.0057
GraphOnly,0.938,0.956,0.0583,0.956,0.9845,0.9867,0.9914,0.1859,0.1893,0.0155,0.1893,0.1963,0.1999,0.2203,0.8115,0.841,0.1073,0.841,0.9239,0.9343,0.9575,0.3023,0.3094,0.0272,0.3094,0.3239,0.3288,0.3571,2005.739,2035.95,297.0993,2035.95,2362.13,2384.445,2406.401,61.3739,62.3,9.0909,62.3,72.28,72.96,73.636,0.8453,0.8366,0.0327,0.8366,0.9014,0.9073,0.9124,0.2622,0.1941,0.2116,0.1941,0.5425,0.627,0.7734,0.5322,0.492,0.2066,0.492,0.812,0.8865,1.0349,0.0017,0.0008,0.0027,0.0008,0.0024,0.0057,0.0126
Graph+Confidence,0.9355,0.9495,0.0518,0.9495,0.9795,0.9809,0.9888,0.2049,0.1948,0.0425,0.1948,0.2402,0.2851,0.3496,0.8182,0.8476,0.0955,0.8476,0.9295,0.9391,0.9604,0.3267,0.316,0.0574,0.316,0.3726,0.4307,0.5118,2002.2139,2030.23,289.7195,2030.23,2352.34,2385.135,2405.498,61.2658,62.12,8.865,62.12,71.98,72.985,73.608,0.8247,0.8268,0.0519,0.8268,0.8855,0.8888,0.9015,0.2622,0.1941,0.2116,0.1941,0.5425,0.627,0.7734,0.4669,0.453,0.2107,0.453,0.742,0.8245,0.9264,0.0181,0.0118,0.0163,0.0118,0.0355,0.0571,0.0695
