policy,hit_rate_mean,hit_rate_median,hit_rate_std,hit_rate_p50,hit_rate_p90,hit_rate_p95,hit_rate_p99,hit_rate_ci95_lo,hit_rate_ci95_hi,precision_mean,precision_median,precision_std,precision_p50,precision_p90,precision_p95,precision_p99,precision_ci95_lo,precision_ci95_hi,recall_mean,recall_median,recall_std,recall_p50,recall_p90,recall_p95,recall_p99,recall_ci95_lo,recall_ci95_hi,f1_mean,f1_median,f1_std,f1_p50,f1_p90,f1_p95,f1_p99,f1_ci95_lo,f1_ci95_hi,latency_saved_ms_mean,latency_saved_ms_median,latency_saved_ms_std,latency_saved_ms_p50,latency_saved_ms_p90,latency_saved_ms_p95,latency_saved_ms_p99,latency_saved_ms_ci95_lo,latency_saved_ms_ci95_hi,latency_saved_pct_mean,latency_saved_pct_median,latency_saved_pct_std,latency_saved_pct_p50,latency_saved_pct_p90,latency_saved_pct_p95,latency_saved_pct_p99,latency_saved_pct_ci95_lo,latency_saved_pct_ci95_hi
Random,0.7934,0.8417,0.1455,0.8417,0.9261,0.9517,0.9623,0.7404,0.838,0.1579,0.1605,0.0348,0.1605,0.1834,0.1963,0.2461,0.1454,0.1696,0.4783,0.4888,0.0673,0.4888,0.529,0.5496,0.6178,0.4535,0.4997,0.2372,0.2417,0.0474,0.2417,0.2724,0.2893,0.3517,0.2199,0.2529,1795.4435,1832.41,432.511,1832.41,2271.58,2335.405,2388.268,1642.3672,1935.1284,64.9816,66.32,15.6536,66.32,82.21,84.525,86.439,59.4418,70.0364
LRU,0.928,0.9449,0.0556,0.9449,0.9769,0.9801,0.9894,0.907,0.9449,0.4815,0.4814,0.1713,0.4814,0.7254,0.8023,0.8628,0.4201,0.544,0.7678,0.7947,0.1131,0.7947,0.9098,0.9336,0.9545,0.7262,0.8091,0.5838,0.5996,0.1585,0.5996,0.8072,0.8626,0.9064,0.5277,0.6399,1991.2452,2012.6,289.4255,2012.6,2345.23,2385.135,2406.184,1893.0022,2086.4458,72.0687,72.84,10.4749,72.84,84.88,86.325,87.086,68.513,75.5148
LFU,0.9291,0.9443,0.0537,0.9443,0.9771,0.9801,0.9894,0.9089,0.9452,0.5081,0.4983,0.177,0.4983,0.6894,0.8021,0.8447,0.4428,0.5716,0.8052,0.8288,0.1101,0.8288,0.916,0.9514,0.9636,0.7638,0.8445,0.6153,0.6222,0.1653,0.6222,0.7867,0.8703,0.9002,0.5539,0.6734,1992.7342,2014.36,287.8848,2014.36,2345.39,2385.135,2406.184,1894.3975,2087.8613,72.1232,72.9,10.4194,72.9,84.89,86.325,87.086,68.5648,75.5665
Frequency,0.9296,0.9451,0.0538,0.9451,0.9771,0.9801,0.9885,0.9086,0.9463,0.473,0.4737,0.1747,0.4737,0.6875,0.7097,0.7889,0.4093,0.5368,0.7909,0.8182,0.1135,0.8182,0.9167,0.9243,0.9487,0.7477,0.8306,0.5844,0.6,0.1689,0.6,0.7857,0.8028,0.8612,0.521,0.6451,1993.4303,2017.2,287.907,2017.2,2342.41,2385.135,2405.078,1894.2058,2088.9057,72.1474,73.01,10.4198,73.01,84.78,86.325,87.044,68.5569,75.6031
RecencyFrequency,0.9298,0.948,0.0543,0.948,0.9771,0.9801,0.9897,0.9096,0.9466,0.4808,0.4567,0.1797,0.4567,0.6912,0.7569,0.8273,0.4138,0.5465,0.7954,0.8078,0.112,0.8078,0.918,0.9396,0.9596,0.7535,0.8352,0.5914,0.5835,0.1708,0.5835,0.7886,0.8383,0.8883,0.5278,0.6536,1993.7832,2017.2,288.2567,2017.2,2344.24,2385.135,2406.604,1895.857,2089.3526,72.1603,73.01,10.4323,73.01,84.84,86.325,87.1,68.6162,75.6189
Markov-1,0.938,0.956,0.0583,0.956,0.9845,0.9867,0.9914,0.9155,0.9555,0.6328,0.6616,0.1741,0.6616,0.8251,0.8486,0.8984,0.5663,0.6944,0.8713,0.8965,0.0864,0.8965,0.9565,0.958,0.9615,0.8372,0.9004,0.7267,0.7565,0.1509,0.7565,0.8863,0.9012,0.9266,0.6669,0.7792,2005.739,2035.95,297.0993,2035.95,2362.13,2384.445,2406.401,1904.4845,2103.4923,72.5932,73.69,10.7523,73.69,85.49,86.3,87.093,68.9292,76.1314
Markov-2,0.9297,0.945,0.0682,0.945,0.9828,0.9865,0.9916,0.9037,0.95,0.6423,0.6725,0.1652,0.6725,0.8263,0.8538,0.8983,0.5811,0.6993,0.8567,0.891,0.096,0.891,0.9511,0.9558,0.9609,0.8199,0.8902,0.7295,0.7599,0.1449,0.7599,0.886,0.9024,0.9271,0.6748,0.7801,1993.8442,2009.59,310.9486,2009.59,2354.47,2388.38,2407.304,1884.8403,2095.8593,72.1626,72.73,11.2534,72.73,85.21,86.44,87.128,68.2179,75.8549
VariableOrderMarkov,0.9201,0.9431,0.067,0.9431,0.9728,0.9772,0.9876,0.8931,0.9406,0.5213,0.4906,0.2066,0.4906,0.7917,0.8101,0.8157,0.4428,0.5947,0.8114,0.8281,0.1283,0.8281,0.95,0.9552,0.9568,0.7631,0.8569,0.6249,0.6162,0.1943,0.6162,0.8636,0.8766,0.8807,0.5504,0.6929,1979.8245,1996.93,303.0874,1996.93,2344.43,2383.645,2405.218,1876.152,2081.8856,71.6545,72.27,10.9682,72.27,84.85,86.27,87.051,67.9023,75.3485
ContextMarkov,0.917,0.9404,0.0676,0.9404,0.972,0.9787,0.9897,0.8898,0.9375,0.5044,0.4846,0.2041,0.4846,0.7676,0.7866,0.834,0.4278,0.5783,0.802,0.8246,0.1288,0.8246,0.9429,0.9485,0.9616,0.7532,0.8472,0.6095,0.6105,0.1929,0.6105,0.8463,0.8599,0.8931,0.5372,0.6785,1975.2348,1994.42,302.2511,1994.42,2341.05,2387.635,2405.561,1871.0318,2075.1981,71.4884,72.18,10.9395,72.18,84.73,86.415,87.065,67.7168,75.1065
ClusterMarkov,0.9009,0.9249,0.0785,0.9249,0.9669,0.9758,0.9865,0.8713,0.9251,0.5087,0.4676,0.2101,0.4676,0.7864,0.8109,0.8178,0.4282,0.5838,0.7994,0.8126,0.1348,0.8126,0.9481,0.9518,0.9573,0.7484,0.8458,0.6117,0.5936,0.1988,0.5936,0.8597,0.8757,0.8821,0.5368,0.6838,1951.8281,1980.85,317.4084,1980.85,2334.38,2383.58,2403.4,1841.3029,2055.5821,70.6423,71.69,11.4869,71.69,84.49,86.265,86.985,66.643,74.3973
GlobalMarkov2,0.9132,0.9266,0.0713,0.9266,0.9759,0.9796,0.9869,0.8862,0.9356,0.5781,0.5821,0.1626,0.5821,0.7761,0.7998,0.8223,0.5166,0.6332,0.8377,0.8638,0.0995,0.8638,0.9391,0.9469,0.9537,0.8002,0.8715,0.679,0.6955,0.148,0.6955,0.8499,0.8671,0.883,0.6231,0.7291,1969.7945,2009.44,313.1496,2009.44,2344.43,2377.745,2420.836,1860.9841,2072.2375,71.2919,72.73,11.3338,72.73,84.85,86.055,87.618,67.3531,75.0003
GraphOnly,0.938,0.956,0.0583,0.956,0.9845,0.9867,0.9914,0.9155,0.9555,0.6328,0.6616,0.1741,0.6616,0.8251,0.8486,0.8984,0.5663,0.6944,0.8713,0.8965,0.0864,0.8965,0.9565,0.958,0.9615,0.8372,0.9004,0.7267,0.7565,0.1509,0.7565,0.8863,0.9012,0.9266,0.6669,0.7792,2005.739,2035.95,297.0993,2035.95,2362.13,2384.445,2406.401,1904.4845,2103.4923,72.5932,73.69,10.7523,73.69,85.49,86.3,87.093,68.9292,76.1314
Graph+Confidence,0.9355,0.9495,0.0518,0.9495,0.9795,0.9809,0.9888,0.9156,0.9512,0.6488,0.6827,0.1611,0.6827,0.849,0.8741,0.9346,0.5901,0.7056,0.8787,0.9046,0.0741,0.9046,0.9541,0.9597,0.9683,0.8513,0.903,0.7408,0.7809,0.1354,0.7809,0.9023,0.9161,0.947,0.6914,0.7876,2002.2139,2030.23,289.7195,2030.23,2352.34,2385.135,2405.498,1903.3975,2098.8167,72.4645,73.48,10.4857,73.48,85.14,86.325,87.058,68.8881,75.9611
GraphMindRL,0.9357,0.9518,0.0513,0.9518,0.9785,0.9813,0.9891,0.9155,0.9511,0.6571,0.6812,0.1535,0.6812,0.839,0.8719,0.9315,0.6018,0.712,0.8647,0.8901,0.0761,0.8901,0.9481,0.9542,0.9597,0.8365,0.89,0.7424,0.7641,0.1292,0.7641,0.8919,0.9113,0.944,0.6957,0.7888,2002.54,2025.65,289.0922,2025.65,2353.34,2385.135,2405.911,1903.6638,2099.7612,72.4765,73.31,10.463,73.31,85.17,86.325,87.079,68.8979,75.9949
RLAdaptiveEnsemble,0.9175,0.9431,0.0682,0.9431,0.9728,0.9753,0.9872,0.8908,0.9384,0.5133,0.4833,0.2087,0.4833,0.7758,0.8067,0.8335,0.4328,0.5879,0.8059,0.8239,0.1305,0.8239,0.9454,0.9543,0.9616,0.757,0.8514,0.617,0.6092,0.1966,0.6092,0.8522,0.8742,0.8929,0.5425,0.6863,1975.9577,1994.74,302.0372,1994.74,2341.91,2381.64,2405.561,1873.7608,2075.994,71.5155,72.19,10.9326,72.19,84.76,86.2,87.065,67.817,75.136
