policy,n_users,mean_f1,std_f1,mean_hr,mean_precision,mean_recall,mean_lat_ms,delta_f1
M2_Laplace_001,31,0.7295,0.1449,0.9297,0.6423,0.8567,1993.8,-0.0129
M2_Laplace_010,31,0.7295,0.1449,0.9297,0.6423,0.8567,1993.8,-0.0129
M2_Laplace_050,31,0.7295,0.1449,0.9297,0.6423,0.8567,1993.8,-0.0129
M2_Naive,31,0.7295,0.1449,0.9297,0.6423,0.8567,1993.8,-0.0129
M2_JM_K10,31,0.7289,0.1498,0.9351,0.6317,0.8794,2001.7,-0.0135
M2_JM_K5,31,0.7282,0.1506,0.9347,0.6311,0.879,2001.2,-0.0142
M2_JM_K3,31,0.7279,0.1506,0.9345,0.6307,0.8788,2000.8,-0.0145
M2_Backoff_10,31,0.7265,0.1537,0.9323,0.6334,0.8703,1997.6,-0.0159
M2_Backoff_5,31,0.7245,0.1551,0.9307,0.6317,0.8679,1995.3,-0.0179
M2_Backoff_3,31,0.7236,0.1549,0.9301,0.6316,0.8651,1994.3,-0.0188
