phase,user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
phase5_combined,31_F,JM_6Band,0.9935,0.8291,0.9604,0.89,2408.45,87.17
phase5_combined,31_F,JM_12Band,0.9935,0.8291,0.9604,0.89,2408.45,87.17
phase5_combined,31_F,JM_24Hour,0.9935,0.8291,0.9604,0.89,2408.45,87.17
phase5_combined,31_F,JM_48Bucket,0.9935,0.8291,0.9604,0.89,2408.45,87.17
phase5_combined,5_F,JM_6Band,0.8942,0.4054,0.7732,0.532,1751.09,63.38
phase5_combined,5_F,JM_12Band,0.8942,0.4054,0.7732,0.532,1751.09,63.38
phase5_combined,5_F,JM_24Hour,0.8942,0.4054,0.7732,0.532,1751.09,63.38
phase5_combined,5_F,JM_48Bucket,0.8942,0.4054,0.7732,0.532,1751.09,63.38
phase5_combined,2_F,JM_6Band,0.9572,0.6998,0.921,0.7953,1687.66,61.08
phase5_combined,2_F,JM_12Band,0.9572,0.6998,0.921,0.7953,1687.66,61.08
phase5_combined,2_F,JM_24Hour,0.9572,0.6998,0.921,0.7953,1687.66,61.08
phase5_combined,2_F,JM_48Bucket,0.9572,0.6998,0.921,0.7953,1687.66,61.08
phase5_combined,35_F,JM_6Band,0.9823,0.7103,0.9246,0.8034,2355.32,85.25
phase5_combined,35_F,JM_12Band,0.9823,0.7103,0.9246,0.8034,2355.32,85.25
phase5_combined,35_F,JM_24Hour,0.9823,0.7103,0.9246,0.8034,2355.32,85.25
phase5_combined,35_F,JM_48Bucket,0.9823,0.7103,0.9246,0.8034,2355.32,85.25
phase5_combined,19_F,JM_6Band,0.9365,0.7332,0.9322,0.8208,1769.84,64.05
phase5_combined,19_F,JM_12Band,0.9365,0.7332,0.9322,0.8208,1769.84,64.05
phase5_combined,19_F,JM_24Hour,0.9365,0.7332,0.9322,0.8208,1769.84,64.05
phase5_combined,19_F,JM_48Bucket,0.9365,0.7332,0.9322,0.8208,1769.84,64.05
phase5_combined,34_F,JM_6Band,0.9726,0.6451,0.9009,0.7518,2252.29,81.52
phase5_combined,34_F,JM_12Band,0.9726,0.6451,0.9009,0.7518,2252.29,81.52
phase5_combined,34_F,JM_24Hour,0.9726,0.6451,0.9009,0.7518,2252.29,81.52
phase5_combined,34_F,JM_48Bucket,0.9726,0.6451,0.9009,0.7518,2252.29,81.52
phase5_combined,28_F,JM_6Band,0.857,0.3715,0.7472,0.4963,1809.9,65.5
phase5_combined,28_F,JM_12Band,0.857,0.3715,0.7472,0.4963,1809.9,65.5
phase5_combined,28_F,JM_24Hour,0.857,0.3715,0.7472,0.4963,1809.9,65.5
phase5_combined,28_F,JM_48Bucket,0.857,0.3715,0.7472,0.4963,1809.9,65.5
phase5_combined,33_F,JM_6Band,0.9042,0.6505,0.903,0.7562,2012.66,72.84
