phase,user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
phase6_graph,31_F,Graph_NodeApp,0.9927,0.8251,0.9573,0.8863,2407.16,87.12
phase6_graph,31_F,Graph_NodeAppTime6,0.9923,0.8158,0.9541,0.8795,2406.37,87.09
phase6_graph,31_F,Graph_NodeAppTime12,0.9927,0.8196,0.9541,0.8817,2406.87,87.11
phase6_graph,31_F,Graph_Bigram,0.9935,0.8263,0.9551,0.886,2408.45,87.17
phase6_graph,5_F,Graph_NodeApp,0.9022,0.4207,0.7813,0.5469,1762.88,63.8
phase6_graph,5_F,Graph_NodeAppTime6,0.8926,0.393,0.7589,0.5179,1748.63,63.29
phase6_graph,5_F,Graph_NodeAppTime12,0.8886,0.3808,0.7469,0.5045,1742.99,63.08
phase6_graph,5_F,Graph_Bigram,0.8896,0.4034,0.7511,0.5249,1744.56,63.14
phase6_graph,2_F,Graph_NodeApp,0.9618,0.7131,0.924,0.805,1693.55,61.29
phase6_graph,2_F,Graph_NodeAppTime6,0.9655,0.631,0.8801,0.735,1698.99,61.49
phase6_graph,2_F,Graph_NodeAppTime12,0.9711,0.6203,0.8738,0.7255,1707.16,61.79
phase6_graph,2_F,Graph_Bigram,0.9553,0.7061,0.9123,0.7961,1684.94,60.98
phase6_graph,35_F,Graph_NodeApp,0.9885,0.6883,0.9146,0.7854,2364.26,85.57
phase6_graph,35_F,Graph_NodeAppTime6,0.9837,0.6404,0.8921,0.7456,2357.31,85.32
phase6_graph,35_F,Graph_NodeAppTime12,0.9823,0.6204,0.8834,0.7289,2355.32,85.25
phase6_graph,35_F,Graph_Bigram,0.9817,0.7096,0.9119,0.7981,2354.33,85.21
phase6_graph,19_F,Graph_NodeApp,0.9416,0.7183,0.9247,0.8085,1777.1,64.32
phase6_graph,19_F,Graph_NodeAppTime6,0.9356,0.7085,0.9188,0.8001,1768.0,63.99
phase6_graph,19_F,Graph_NodeAppTime12,0.9371,0.6974,0.9113,0.7901,1770.46,64.08
phase6_graph,19_F,Graph_Bigram,0.9373,0.7401,0.9251,0.8223,1771.04,64.1
phase6_graph,34_F,Graph_NodeApp,0.976,0.637,0.8958,0.7446,2258.69,81.75
phase6_graph,34_F,Graph_NodeAppTime6,0.9726,0.6041,0.8678,0.7123,2253.68,81.57
phase6_graph,34_F,Graph_NodeAppTime12,0.9726,0.6112,0.8748,0.7196,2252.29,81.52
phase6_graph,34_F,Graph_Bigram,0.976,0.6473,0.8698,0.7422,2259.28,81.77
phase6_graph,28_F,Graph_NodeApp,0.8661,0.3903,0.7597,0.5157,1822.36,65.96
phase6_graph,28_F,Graph_NodeAppTime6,0.8538,0.362,0.7328,0.4846,1804.78,65.32
phase6_graph,28_F,Graph_NodeAppTime12,0.845,0.3546,0.7232,0.4759,1792.01,64.86
phase6_graph,28_F,Graph_Bigram,0.8535,0.3686,0.7192,0.4874,1804.95,65.33
phase6_graph,33_F,Graph_NodeApp,0.9119,0.6473,0.9007,0.7533,2024.0,73.25
phase6_graph,33_F,Graph_NodeAppTime6,0.9031,0.6309,0.8878,0.7376,2012.02,72.82
phase6_graph,33_F,Graph_NodeAppTime12,0.9011,0.6297,0.8829,0.7351,2008.96,72.71
phase6_graph,33_F,Graph_Bigram,0.9017,0.6609,0.8938,0.7599,2009.59,72.73
phase6_graph,18_F,Graph_NodeApp,0.9518,0.7535,0.9374,0.8355,1444.72,52.29
phase6_graph,18_F,Graph_NodeAppTime6,0.9439,0.7295,0.9281,0.8169,1433.68,51.89
