policy,n_users,mean_f1,std_f1,mean_hr,mean_precision,mean_recall,mean_lat_ms,delta_f1
RL_LatencyFocus,31,0.7539,0.1254,0.9344,0.6764,0.8624,2000.6,0.0115
RL_F1Reward,31,0.748,0.1188,0.9336,0.6772,0.8417,1999.3,0.0056
RL_Threshold,31,0.7479,0.1187,0.9339,0.6768,0.8419,1999.8,0.0055
RL_PrecisionFocus,31,0.7408,0.1354,0.9355,0.6488,0.8787,2002.2,-0.0016
RL_RecallFocus,31,0.7408,0.1354,0.9355,0.6488,0.8787,2002.2,-0.0016
Graph_Bigram,31,0.7295,0.1449,0.9297,0.6423,0.8567,1993.8,-0.0129
M2_Laplace_001,31,0.7295,0.1449,0.9297,0.6423,0.8567,1993.8,-0.0129
M2_Laplace_010,31,0.7295,0.1449,0.9297,0.6423,0.8567,1993.8,-0.0129
M2_Laplace_050,31,0.7295,0.1449,0.9297,0.6423,0.8567,1993.8,-0.0129
M2_Naive,31,0.7295,0.1449,0.9297,0.6423,0.8567,1993.8,-0.0129
M2_JM_K10,31,0.7289,0.1498,0.9351,0.6317,0.8794,2001.7,-0.0135
Decay_30d,31,0.7286,0.1474,0.9386,0.6346,0.8728,2006.7,-0.0138
Decay_60d,31,0.7283,0.1474,0.9399,0.6341,0.8727,2008.5,-0.0141
Decay_14d,31,0.7282,0.1474,0.9384,0.6339,0.8726,2006.4,-0.0142
JM_12Band,31,0.7282,0.1506,0.9347,0.6311,0.879,2001.2,-0.0142
JM_24Hour,31,0.7282,0.1506,0.9347,0.6311,0.879,2001.2,-0.0142
JM_48Bucket,31,0.7282,0.1506,0.9347,0.6311,0.879,2001.2,-0.0142
JM_6Band,31,0.7282,0.1506,0.9347,0.6311,0.879,2001.2,-0.0142
M2_JM_K5,31,0.7282,0.1506,0.9347,0.6311,0.879,2001.2,-0.0142
M2_JM_K3,31,0.7279,0.1506,0.9345,0.6307,0.8788,2000.8,-0.0145
Graph_NodeApp,31,0.7267,0.1509,0.938,0.6328,0.8713,2005.7,-0.0157
M2_Backoff_10,31,0.7265,0.1537,0.9323,0.6334,0.8703,1997.6,-0.0159
Decay_7d,31,0.7263,0.1467,0.9376,0.6316,0.8717,2005.1,-0.0161
M2_Backoff_5,31,0.7245,0.1551,0.9307,0.6317,0.8679,1995.3,-0.0179
M2_Backoff_3,31,0.7236,0.1549,0.9301,0.6316,0.8651,1994.3,-0.0188
TimeAwareM1_6Band,31,0.7151,0.1437,0.9338,0.6212,0.8576,1999.7,-0.0273
Graph_NodeAppTime6,31,0.7116,0.143,0.9334,0.6167,0.8562,1999.2,-0.0308
TimeAwareM1_12Band,31,0.7001,0.1521,0.9301,0.6076,0.8416,1994.4,-0.0423
Graph_NodeAppTime12,31,0.6918,0.1493,0.9293,0.5961,0.839,1993.2,-0.0506
TimeAwareM1_24Hour,31,0.6915,0.1505,0.9264,0.5992,0.8324,1988.9,-0.0509
TimeAwareM1_48Bucket,31,0.687,0.1455,0.9256,0.5959,0.8246,1987.7,-0.0554
