phase,policy,f1,hit_rate,delta_f1,n
phase3_time,TimeAwareM1_12Band,0.7001,0.9301,-0.0423,31
phase3_time,TimeAwareM1_24Hour,0.6915,0.9264,-0.0509,31
phase3_time,TimeAwareM1_48Bucket,0.687,0.9256,-0.0554,31
phase3_time,TimeAwareM1_6Band,0.7151,0.9338,-0.0273,31
phase4_order,M2_Backoff_10,0.7265,0.9323,-0.0159,31
phase4_order,M2_Backoff_3,0.7236,0.9301,-0.0188,31
phase4_order,M2_Backoff_5,0.7245,0.9307,-0.0179,31
phase4_order,M2_JM_K10,0.7289,0.9351,-0.0135,31
phase4_order,M2_JM_K3,0.7279,0.9345,-0.0145,31
phase4_order,M2_JM_K5,0.7282,0.9347,-0.0142,31
phase4_order,M2_Laplace_001,0.7295,0.9297,-0.0129,31
phase4_order,M2_Laplace_010,0.7295,0.9297,-0.0129,31
phase4_order,M2_Laplace_050,0.7295,0.9297,-0.0129,31
phase4_order,M2_Naive,0.7295,0.9297,-0.0129,31
phase5_combined,JM_12Band,0.7282,0.9347,-0.0142,31
phase5_combined,JM_24Hour,0.7282,0.9347,-0.0142,31
phase5_combined,JM_48Bucket,0.7282,0.9347,-0.0142,31
phase5_combined,JM_6Band,0.7282,0.9347,-0.0142,31
phase6_graph,Graph_Bigram,0.7295,0.9297,-0.0129,31
phase6_graph,Graph_NodeApp,0.7267,0.938,-0.0157,31
phase6_graph,Graph_NodeAppTime12,0.6918,0.9293,-0.0506,31
phase6_graph,Graph_NodeAppTime6,0.7116,0.9334,-0.0308,31
phase7_rl,RL_F1Reward,0.748,0.9336,0.0056,31
phase7_rl,RL_LatencyFocus,0.7539,0.9344,0.0115,31
phase7_rl,RL_PrecisionFocus,0.7408,0.9355,-0.0016,31
phase7_rl,RL_RecallFocus,0.7408,0.9355,-0.0016,31
phase7_rl,RL_Threshold,0.7479,0.9339,0.0055,31
phase8_decay,Decay_14d,0.7282,0.9384,-0.0142,31
phase8_decay,Decay_30d,0.7286,0.9386,-0.0138,31
phase8_decay,Decay_60d,0.7283,0.9399,-0.0141,31
phase8_decay,Decay_7d,0.7263,0.9376,-0.0161,31
