rank,user_id,usable,reason,application_events,unique_apps,transition_count,duration_days,active_days,first_timestamp,last_timestamp,score
1,31_F,True,ok,24586,89,7986,1109,65,2011-01-01T06:59:46,2014-01-13T21:14:52,4327.683
2,5_F,True,ok,19840,112,15384,371,55,2013-01-12T10:20:34,2014-01-17T22:02:56,1553.403
3,2_F,True,ok,10739,43,2579,380,27,2013-11-14T10:59:04,2014-11-29T07:32:20,1296.352
4,35_F,True,ok,14712,56,10323,129,106,2015-02-12T18:17:52,2015-06-20T23:45:36,517.781
5,19_F,True,ok,58546,165,16386,115,59,2013-09-25T17:09:30,2014-01-17T18:21:22,484.664
6,34_F,True,ok,2919,51,2483,137,44,2013-09-03T12:47:09,2014-01-18T00:30:59,465.112
7,28_F,True,ok,37409,133,28540,73,73,2013-11-08T14:07:39,2014-01-19T19:23:39,325.248
8,33_F,True,ok,35400,153,11401,66,61,2013-11-13T01:47:10,2014-01-17T22:57:05,267.758
9,18_F,True,ok,78204,284,16729,63,64,2013-11-19T22:26:18,2014-01-21T20:49:37,266.079
10,11_F,True,ok,26566,70,9618,65,62,2013-11-13T18:14:50,2014-01-16T22:07:50,258.901
11,14_F,True,ok,5817,63,4675,70,70,2013-11-11T10:10:33,2014-01-20T08:15:43,256.885
12,20_M,True,ok,5648,174,4552,69,70,2013-11-09T23:36:45,2014-01-17T16:48:34,252.416
13,12_M,True,ok,31082,112,8674,60,56,2013-11-17T11:38:16,2014-01-16T09:58:33,236.293
14,16_F,True,ok,12818,78,4704,64,55,2013-11-16T00:44:38,2014-01-18T01:03:19,235.038
15,21_F,True,ok,3642,93,2694,65,35,2013-11-07T11:40:21,2014-01-10T23:57:01,222.976
16,7_F,True,ok,34886,71,7607,57,50,2013-11-22T02:23:26,2014-01-17T23:14:00,221.229
17,6_M,True,ok,7015,168,2912,61,56,2013-11-11T01:46:42,2014-01-10T21:36:54,211.316
18,8_M,True,ok,9758,50,3648,59,52,2013-11-13T19:30:45,2014-01-10T23:42:00,210.161
19,27_F,True,ok,14146,170,6111,55,53,2013-11-23T18:51:52,2014-01-17T18:08:16,208.236
20,24_F,True,ok,41969,101,11274,51,51,2013-11-28T12:09:07,2014-01-17T21:27:16,206.656
21,13_F,True,ok,10917,85,5384,55,52,2013-11-11T09:30:22,2014-01-04T21:40:45,205.211
22,17_F,True,ok,6917,73,3915,57,57,2013-11-22T07:33:29,2014-01-17T19:53:14,204.786
23,29_F,True,ok,10229,75,1997,62,57,2013-11-17T10:25:56,2014-01-17T13:55:56,204.623
24,22_M,True,ok,24588,113,4989,49,49,2013-11-22T00:51:03,2014-01-09T23:12:16,181.203
25,26_F,True,ok,12474,65,3505,48,48,2013-11-29T20:47:56,2014-01-16T16:40:26,170.145
26,23_F,True,ok,5159,73,1342,45,25,2013-12-04T20:30:16,2014-01-18T13:08:14,140.749
27,15_F,True,ok,8078,79,3052,31,24,2013-11-24T19:26:22,2013-12-25T18:32:10,108.022
28,1_M,True,ok,4537,89,2801,30,30,2014-11-01T06:00:03,2014-11-30T22:54:12,103.419
29,30_F,True,ok,4360,82,2354,30,30,2013-12-18T08:45:26,2014-01-16T23:36:02,101.154
30,9_M,True,ok,795,38,671,21,21,2013-12-11T11:45:21,2013-12-31T23:19:54,59.361
31,10_M,True,ok,590,22,373,15,8,2013-11-29T07:49:07,2013-12-13T23:43:09,38.576
