app_id,package_name,category,start_type,n,mean_ms,median_ms,p50_ms,p90_ms,p95_ms,p99_ms,std_ms,min_ms,max_ms
amazon,com.amazon.mShop.android.shopping,commerce,cold,100,2945.1,2946.0,2946.0,3377.3,3513.5,3688.1,362.1,1961.0,3898.0
amazon,com.amazon.mShop.android.shopping,commerce,hot,100,280.4,276.5,276.5,364.2,385.5,409.3,64.9,123.0,441.0
amazon,com.amazon.mShop.android.shopping,commerce,warm,100,1385.4,1393.5,1393.5,1557.0,1599.2,1638.4,140.2,934.0,1673.0
chrome,com.android.chrome,utility,cold,100,1285.2,1298.0,1298.0,1528.5,1573.1,1705.8,199.6,733.0,1983.0
chrome,com.android.chrome,utility,hot,100,112.7,116.5,116.5,149.2,155.0,161.1,28.1,49.0,173.0
chrome,com.android.chrome,utility,warm,100,605.0,603.0,603.0,716.1,749.9,813.0,94.9,350.0,815.0
gmail,com.google.android.gm,productivity,cold,100,1828.2,1836.5,1836.5,2141.1,2162.4,2385.6,241.7,1274.0,2440.0
gmail,com.google.android.gm,productivity,hot,100,161.7,161.5,161.5,211.6,224.3,237.2,38.3,79.0,257.0
gmail,com.google.android.gm,productivity,warm,100,860.4,854.5,854.5,994.8,1034.2,1082.4,105.4,572.0,1117.0
google_maps,com.google.android.apps.maps,utility,cold,100,3173.5,3130.5,3130.5,3667.2,3841.9,4010.0,369.4,2171.0,4014.0
google_maps,com.google.android.apps.maps,utility,hot,100,293.3,300.5,300.5,362.2,391.1,419.4,59.0,154.0,460.0
google_maps,com.google.android.apps.maps,utility,warm,100,1480.3,1482.0,1482.0,1665.9,1735.1,1814.0,159.0,1028.0,1819.0
instagram,com.instagram.android,social,cold,100,3268.1,3320.5,3320.5,3724.8,3860.2,3940.4,396.6,1879.0,4177.0
instagram,com.instagram.android,social,hot,100,325.8,327.0,327.0,383.5,402.9,428.0,52.6,184.0,430.0
instagram,com.instagram.android,social,warm,100,1539.3,1538.5,1538.5,1768.1,1797.5,1928.2,180.0,1082.0,2045.0
netflix,com.netflix.mediaclient,media,cold,100,4292.5,4285.0,4285.0,4939.7,5346.2,5613.0,542.0,3172.0,5615.0
netflix,com.netflix.mediaclient,media,hot,100,495.9,490.0,490.0,613.7,651.0,665.7,84.2,246.0,730.0
netflix,com.netflix.mediaclient,media,warm,100,2039.7,2041.5,2041.5,2271.5,2347.3,2430.2,199.7,1544.0,2553.0
paytm,net.one97.paytm,financial,cold,100,2364.5,2378.0,2378.0,2793.6,2849.3,3006.3,323.1,1559.0,3032.0
paytm,net.one97.paytm,financial,hot,100,215.0,217.0,217.0,262.1,269.1,290.1,38.0,103.0,296.0
paytm,net.one97.paytm,financial,warm,100,1144.7,1145.0,1145.0,1297.4,1334.8,1392.2,123.0,810.0,1414.0
phonepe,com.phonepe.app,financial,cold,100,2104.4,2108.5,2108.5,2428.5,2516.7,2678.1,271.4,1392.0,2686.0
phonepe,com.phonepe.app,financial,hot,100,193.3,194.0,194.0,241.2,254.1,285.0,37.1,119.0,289.0
phonepe,com.phonepe.app,financial,warm,100,987.3,976.5,976.5,1142.4,1176.5,1273.5,108.1,736.0,1326.0
samsung_health,com.sec.android.app.shealth,health,cold,100,2557.4,2539.0,2539.0,2954.2,2987.6,3138.8,284.1,1892.0,3215.0
samsung_health,com.sec.android.app.shealth,health,hot,100,238.8,237.5,237.5,313.4,340.1,363.0,55.3,110.0,367.0
samsung_health,com.sec.android.app.shealth,health,warm,100,1202.7,1206.0,1206.0,1381.0,1416.2,1478.5,134.2,848.0,1529.0
slack,com.Slack,productivity,cold,100,3430.1,3433.0,3433.0,3935.1,4163.8,4509.2,419.4,2502.0,4526.0
slack,com.Slack,productivity,hot,100,366.3,362.0,362.0,461.1,467.4,490.1,64.4,207.0,500.0
slack,com.Slack,productivity,warm,100,1602.8,1572.5,1572.5,1882.9,1920.8,1977.7,183.8,1208.0,2047.0
spotify,com.spotify.music,media,cold,100,2848.8,2801.0,2801.0,3349.5,3469.3,3616.1,334.0,2129.0,3624.0
spotify,com.spotify.music,media,hot,100,276.5,277.0,277.0,339.3,357.1,389.0,49.2,139.0,389.0
spotify,com.spotify.music,media,warm,100,1378.0,1399.5,1399.5,1586.9,1635.6,1718.4,162.1,1006.0,1757.0
whatsapp,com.whatsapp,social,cold,100,2255.7,2285.5,2285.5,2591.2,2667.6,2773.2,276.3,1552.0,2788.0
whatsapp,com.whatsapp,social,hot,100,191.1,192.5,192.5,237.2,247.2,268.1,39.1,92.0,276.0
whatsapp,com.whatsapp,social,warm,100,992.7,996.5,996.5,1156.9,1186.0,1207.5,122.8,713.0,1254.0
youtube,com.google.android.youtube,media,cold,100,3564.0,3634.5,3634.5,4078.2,4262.2,4604.4,439.4,2531.0,4646.0
youtube,com.google.android.youtube,media,hot,100,407.7,403.5,403.5,498.4,542.4,571.0,72.8,248.0,573.0
youtube,com.google.android.youtube,media,warm,100,1697.2,1710.0,1710.0,1947.5,1987.9,2168.6,197.3,1159.0,2227.0
