policy,f1,std_f1,precision,recall,hit_rate,latency_saved_ms,delta_f1_vs_baseline,t_stat,p_value,cohen_d,significant,n_users,run_date,dataset,split,config
GraphMindRL_V5,0.7745,0.1124,0.7512,0.8063,0.9307,1847.23,+0.0321,2.681,0.0115,0.491,True,31,2026-06-06,UbiqLog,80/10/10_chronological,"w_trans=0.5,w_rec=0.1,w_freq=0.4,w_ctx=0.0,threshold=0.16_adaptive"
GraphMindRL_V5_t10,0.7733,0.1118,0.7498,0.8051,0.9326,1849.11,+0.0309,2.714,0.0105,0.498,True,31,2026-06-06,UbiqLog,80/10/10_chronological,"w_trans=0.5,w_rec=0.1,w_freq=0.4,w_ctx=0.0,threshold=0.10_adaptive"
RL_LatencyFocus,0.7550,0.1093,0.7341,0.7847,0.9325,1836.44,+0.0126,3.951,0.0004,0.725,True,31,2026-06-06,UbiqLog,80/10/10_chronological,"w_trans=0.5,w_rec=0.3,w_freq=0.2,w_ctx=0.0,threshold=0.10_adaptive"
GraphMindRL_Base,0.7539,0.1089,0.7329,0.7836,0.9344,1834.72,+0.0115,3.991,0.0003,0.752,True,31,2026-06-06,UbiqLog,80/10/10_chronological,"w_trans=0.5,w_rec=0.3,w_freq=0.2,w_ctx=0.0,threshold=0.05_adaptive"
GraphMindRL_Baseline,0.7424,0.1077,0.7218,0.7714,0.9357,2002.50,0.0000,0.000,1.0000,0.000,False,31,2026-06-06,UbiqLog,80/10/10_chronological,"w_trans=0.5,w_rec=0.3,w_freq=0.2,w_ctx=0.1,threshold=0.05_fixed"
Graph+Confidence,0.7408,0.1064,0.7203,0.7698,0.9341,1998.31,-0.0016,-0.312,0.7571,-0.056,False,31,2026-06-06,UbiqLog,80/10/10_chronological,threshold=0.05_fixed_no_rl
Markov2,0.7295,0.1052,0.7098,0.7581,0.9289,1921.44,-0.0129,-2.103,0.0445,-0.376,True,31,2026-06-06,UbiqLog,80/10/10_chronological,bigram_m1_fallback
Markov1,0.7267,0.1049,0.7073,0.7552,0.9278,1899.17,-0.0157,-2.441,0.0209,-0.437,True,31,2026-06-06,UbiqLog,80/10/10_chronological,unigram_only
GraphOnly,0.7267,0.1049,0.7073,0.7552,0.9278,1899.17,-0.0157,-2.441,0.0209,-0.437,True,31,2026-06-06,UbiqLog,80/10/10_chronological,graph_topk_no_confidence
GlobalMarkov2,0.6790,0.1143,0.6601,0.7087,0.9011,1756.83,-0.0634,-5.213,0.0000,-0.935,True,31,2026-06-06,UbiqLog,80/10/10_chronological,cross_user_bigram
