metric,treatment,control,treatment_mean,control_mean,mean_improvement,treatment_ci95_lo,treatment_ci95_hi,control_ci95_lo,control_ci95_hi,ci_overlap,t_statistic,p_value,significant,cohens_d,effect_magnitude,n_users
hit_rate,GraphMindRL,Markov-2,0.9357,0.9297,0.0061,0.9161,0.9518,0.9036,0.9502,True,-1.4596,0.154802,False,0.099,negligible,31
hit_rate,GraphMindRL,GlobalMarkov2,0.9357,0.9132,0.0226,0.9145,0.9518,0.8855,0.9354,True,-4.5576,8.1e-05,True,0.3574,small,31
hit_rate,GraphMindRL,GraphOnly,0.9357,0.938,-0.0023,0.9157,0.9519,0.915,0.9562,True,0.9606,0.344433,False,-0.0403,negligible,31
hit_rate,GraphMindRL,Graph+Confidence,0.9357,0.9355,0.0002,0.9158,0.9518,0.9155,0.9518,True,-0.2488,0.805222,False,0.0044,negligible,31
f1,GraphMindRL,Markov-2,0.7424,0.7295,0.0128,0.6939,0.7876,0.6777,0.7788,True,-1.6024,0.119552,False,0.0918,negligible,31
f1,GraphMindRL,GlobalMarkov2,0.7424,0.679,0.0633,0.6927,0.7859,0.6266,0.7286,True,-4.5912,7.4e-05,True,0.4484,small,31
f1,GraphMindRL,GraphOnly,0.7424,0.7267,0.0157,0.6948,0.7868,0.6743,0.7774,True,-1.6536,0.108645,False,0.1098,negligible,31
f1,GraphMindRL,Graph+Confidence,0.7424,0.7408,0.0015,0.6977,0.786,0.6915,0.786,True,-0.5431,0.591069,False,0.0113,negligible,31
latency_saved_ms,GraphMindRL,Markov-2,2002.54,1993.8442,8.6958,1898.736,2097.0934,1881.0471,2098.0759,True,-1.4368,0.161112,False,0.0285,negligible,31
latency_saved_ms,GraphMindRL,GlobalMarkov2,2002.54,1969.7945,32.7455,1900.425,2101.9187,1858.6638,2077.5439,True,-4.601,7.2e-05,True,0.1069,negligible,31
latency_saved_ms,GraphMindRL,GraphOnly,2002.54,2005.739,-3.199,1900.7524,2103.8793,1894.7985,2107.9032,True,0.9412,0.354108,False,-0.0107,negligible,31
latency_saved_ms,GraphMindRL,Graph+Confidence,2002.54,2002.2139,0.3261,1899.58,2100.0841,1899.4151,2103.8831,True,-0.2425,0.810027,False,0.0011,negligible,31
