metric,treatment,control,treatment_mean,control_mean,mean_improvement,treatment_ci95_lo,treatment_ci95_hi,control_ci95_lo,control_ci95_hi,ci_overlap,t_statistic,p_value,significant,cohens_d,effect_magnitude,wilcoxon_stat,wilcoxon_p,n_users
hit_rate,RLAdaptiveEnsemble,GraphMindRL,0.9175,0.9357,-0.0182,0.8931,0.9391,0.916,0.9512,True,4.302,0.000166,True,-0.2966,small,13.5,7e-06,31
hit_rate,RLAdaptiveEnsemble,Markov-2,0.9175,0.9297,-0.0121,0.8905,0.9396,0.9025,0.95,True,2.6975,0.011353,True,-0.1748,negligible,59.0,0.000359,31
hit_rate,RLAdaptiveEnsemble,VariableOrderMarkov,0.9175,0.9201,-0.0025,0.8914,0.9394,0.894,0.942,True,1.6941,0.100603,False,-0.0369,negligible,130.0,0.156299,31
hit_rate,RLAdaptiveEnsemble,Graph+Confidence,0.9175,0.9355,-0.018,0.8913,0.9393,0.9155,0.9518,True,4.5071,9.3e-05,True,-0.2917,small,2.0,7e-06,31
hit_rate,GraphMindRL,Markov-2,0.9357,0.9297,0.0061,0.9145,0.9523,0.9029,0.9507,True,-1.4596,0.154802,False,0.099,negligible,174.5,0.516334,31
hit_rate,GraphMindRL,GlobalMarkov2,0.9357,0.9132,0.0226,0.9153,0.9519,0.8864,0.9352,True,-4.5576,8.1e-05,True,0.3574,small,27.0,1e-06,31
hit_rate,VariableOrderMarkov,Markov-2,0.9201,0.9297,-0.0096,0.893,0.9416,0.9024,0.9501,True,2.3133,0.027746,True,-0.1394,negligible,72.0,0.000962,31
hit_rate,ContextMarkov,Markov-2,0.917,0.9297,-0.0126,0.8925,0.9389,0.9032,0.9506,True,2.9091,0.006766,True,-0.183,negligible,53.0,0.000222,31
hit_rate,ClusterMarkov,GlobalMarkov2,0.9009,0.9132,-0.0123,0.8704,0.9265,0.8863,0.9362,True,4.1798,0.000232,True,-0.1609,negligible,58.0,0.000332,31
f1,RLAdaptiveEnsemble,GraphMindRL,0.617,0.7424,-0.1253,0.5429,0.6841,0.6973,0.786,False,4.1935,0.000224,True,-0.7413,medium,63.5,0.000299,31
f1,RLAdaptiveEnsemble,Markov-2,0.617,0.7295,-0.1125,0.5514,0.6837,0.6762,0.7803,True,4.3503,0.000145,True,-0.641,medium,6.0,2e-06,31
f1,RLAdaptiveEnsemble,VariableOrderMarkov,0.617,0.6249,-0.0079,0.55,0.6856,0.5546,0.6896,True,3.6763,0.000922,True,-0.0398,negligible,68.5,0.000743,31
f1,RLAdaptiveEnsemble,Graph+Confidence,0.617,0.7408,-0.1238,0.5458,0.6871,0.6926,0.7863,False,4.2769,0.000178,True,-0.7215,medium,51.0,3.2e-05,31
f1,GraphMindRL,Markov-2,0.7424,0.7295,0.0128,0.6963,0.79,0.677,0.7813,True,-1.6024,0.119552,False,0.0918,negligible,177.0,0.169422,31
f1,GraphMindRL,GlobalMarkov2,0.7424,0.679,0.0633,0.6923,0.7852,0.6268,0.728,True,-4.5912,7.4e-05,True,0.4484,small,41.0,9e-06,31
f1,VariableOrderMarkov,Markov-2,0.6249,0.7295,-0.1046,0.5588,0.6911,0.6767,0.7779,True,4.0369,0.000345,True,-0.6004,medium,16.0,0.0,31
f1,ContextMarkov,Markov-2,0.6095,0.7295,-0.12,0.5378,0.6778,0.6767,0.7822,True,4.7262,5e-05,True,-0.6921,medium,3.0,0.0,31
f1,ClusterMarkov,GlobalMarkov2,0.6117,0.679,-0.0674,0.5388,0.6798,0.6251,0.7305,True,3.0351,0.004933,True,-0.3782,small,143.0,0.03962,31
latency_saved_ms,RLAdaptiveEnsemble,GraphMindRL,1975.9577,2002.54,-26.5823,1865.094,2078.0797,1901.269,2104.5392,True,4.3389,0.000149,True,-0.0885,negligible,14.0,7e-06,31
latency_saved_ms,RLAdaptiveEnsemble,Markov-2,1975.9577,1993.8442,-17.8865,1871.3085,2085.4645,1878.2037,2098.2291,True,2.7267,0.010581,True,-0.0574,negligible,59.0,0.000359,31
latency_saved_ms,RLAdaptiveEnsemble,VariableOrderMarkov,1975.9577,1979.8245,-3.8668,1869.3691,2080.4791,1876.3204,2080.7253,True,1.7002,0.09943,False,-0.0126,negligible,155.5,0.113238,31
latency_saved_ms,RLAdaptiveEnsemble,Graph+Confidence,1975.9577,2002.2139,-26.2561,1864.1154,2084.1976,1902.6593,2100.0339,True,4.5523,8.2e-05,True,-0.0873,negligible,9.0,4e-06,31
latency_saved_ms,GraphMindRL,Markov-2,2002.54,1993.8442,8.6958,1900.916,2097.6253,1880.1114,2100.2295,True,-1.4368,0.161112,False,0.0285,negligible,176.0,0.538668,31
latency_saved_ms,GraphMindRL,GlobalMarkov2,2002.54,1969.7945,32.7455,1902.1781,2105.8623,1857.8476,2078.0029,True,-4.601,7.2e-05,True,0.1069,negligible,25.0,1e-06,31
latency_saved_ms,VariableOrderMarkov,Markov-2,1979.8245,1993.8442,-14.0197,1872.8603,2088.1245,1885.7496,2093.499,True,2.3252,0.027015,True,-0.0449,negligible,74.0,0.001114,31
latency_saved_ms,ContextMarkov,Markov-2,1975.2348,1993.8442,-18.6094,1868.2719,2079.1913,1882.5411,2096.4511,True,2.9329,0.006377,True,-0.0597,negligible,51.0,0.000189,31
latency_saved_ms,ClusterMarkov,GlobalMarkov2,1951.8281,1969.7945,-17.9665,1846.9974,2064.3468,1857.3381,2076.5737,True,4.1843,0.00023,True,-0.0561,negligible,66.0,0.00016,31
