user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
31_F,Random,0.9536,0.1753,0.5153,0.2617,2350.09,85.06
31_F,LRU,0.9927,0.8735,0.9614,0.9154,2406.85,87.11
31_F,LFU,0.9927,0.8531,0.9661,0.9061,2406.85,87.11
31_F,Frequency,0.9915,0.691,0.9179,0.7884,2405.27,87.05
31_F,RecencyFrequency,0.9931,0.7702,0.9437,0.8481,2407.45,87.13
31_F,Markov-1,0.9927,0.8251,0.9573,0.8863,2407.16,87.12
31_F,Markov-2,0.9935,0.8263,0.9551,0.886,2408.45,87.17
31_F,VariableOrderMarkov,0.9915,0.814,0.9563,0.8794,2405.47,87.06
31_F,ContextMarkov,0.9919,0.8476,0.9653,0.9026,2405.96,87.08
31_F,ClusterMarkov,0.9882,0.8112,0.9554,0.8774,2400.53,86.88
31_F,GlobalMarkov2,0.9886,0.7827,0.9466,0.8569,2400.83,86.89
31_F,GraphOnly,0.9927,0.8251,0.9573,0.8863,2407.16,87.12
31_F,Graph+Confidence,0.9919,0.8835,0.9706,0.925,2405.87,87.07
31_F,GraphMindRL,0.9923,0.8731,0.961,0.915,2406.46,87.1
31_F,RLAdaptiveEnsemble,0.9919,0.8444,0.9645,0.9005,2405.96,87.08
5_F,Random,0.6497,0.1283,0.4239,0.197,1396.72,50.55
5_F,LRU,0.8805,0.3472,0.7231,0.4692,1731.3,62.66
5_F,LFU,0.8805,0.3514,0.7298,0.4743,1731.3,62.66
5_F,Frequency,0.88,0.3346,0.7155,0.456,1730.56,62.63
5_F,RecencyFrequency,0.88,0.3391,0.7195,0.4609,1730.56,62.63
5_F,Markov-1,0.9022,0.4207,0.7813,0.5469,1762.88,63.8
5_F,Markov-2,0.8896,0.4034,0.7511,0.5249,1744.56,63.14
5_F,VariableOrderMarkov,0.8821,0.3741,0.7493,0.499,1733.72,62.75
5_F,ContextMarkov,0.878,0.3629,0.7401,0.487,1727.61,62.53
5_F,ClusterMarkov,0.8569,0.3471,0.7255,0.4696,1697.26,61.43
5_F,GlobalMarkov2,0.871,0.3743,0.7354,0.4961,1717.31,62.15
5_F,GraphOnly,0.9022,0.4207,0.7813,0.5469,1762.88,63.8
5_F,Graph+Confidence,0.8795,0.4134,0.776,0.5394,1729.82,62.61
5_F,GraphMindRL,0.8785,0.4358,0.7566,0.5531,1728.35,62.55
5_F,RLAdaptiveEnsemble,0.8795,0.3687,0.7449,0.4933,1729.72,62.6
2_F,Random,0.8818,0.1827,0.5277,0.2714,1578.78,57.14
2_F,LRU,0.9581,0.4107,0.7755,0.537,1689.48,61.15
2_F,LFU,0.9581,0.6588,0.9049,0.7625,1689.48,61.15
2_F,Frequency,0.959,0.527,0.8478,0.65,1690.84,61.2
2_F,RecencyFrequency,0.959,0.5345,0.8516,0.6568,1690.84,61.2
2_F,Markov-1,0.9618,0.7131,0.924,0.805,1693.55,61.29
2_F,Markov-2,0.9553,0.7061,0.9123,0.7961,1684.94,60.98
2_F,VariableOrderMarkov,0.9516,0.6763,0.9126,0.7769,1679.49,60.79
2_F,ContextMarkov,0.9534,0.6154,0.8889,0.7273,1682.22,60.88
2_F,ClusterMarkov,0.9507,0.6721,0.9102,0.7732,1679.05,60.77
2_F,GlobalMarkov2,0.9507,0.6782,0.9059,0.7757,1678.13,60.74
2_F,GraphOnly,0.9618,0.7131,0.924,0.805,1693.55,61.29
2_F,Graph+Confidence,0.9581,0.6827,0.912,0.7809,1689.48,61.15
2_F,GraphMindRL,0.959,0.6263,0.8688,0.7279,1690.84,61.2
2_F,RLAdaptiveEnsemble,0.9497,0.6894,0.9173,0.7872,1676.77,60.69
35_F,Random,0.9076,0.1834,0.529,0.2724,2248.4,81.38
35_F,LRU,0.9755,0.4489,0.7251,0.5545,2345.23,84.88
35_F,LFU,0.9755,0.3331,0.7131,0.4541,2345.39,84.89
35_F,Frequency,0.9735,0.2616,0.6391,0.3712,2342.41,84.78
35_F,RecencyFrequency,0.9749,0.2831,0.6638,0.3969,2344.24,84.84
35_F,Markov-1,0.9885,0.6883,0.9146,0.7854,2364.26,85.57
35_F,Markov-2,0.9817,0.7096,0.9119,0.7981,2354.33,85.21
35_F,VariableOrderMarkov,0.9701,0.3461,0.7258,0.4687,2337.17,84.59
35_F,ContextMarkov,0.9728,0.3392,0.7196,0.461,2341.05,84.73
35_F,ClusterMarkov,0.9586,0.3419,0.7203,0.4637,2321.34,84.02
35_F,GlobalMarkov2,0.9742,0.6885,0.9077,0.7831,2342.81,84.79
