phase,user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
phase3_time,31_F,TimeAwareM1_6Band,0.9919,0.8355,0.9594,0.8932,2405.88,87.07
phase3_time,31_F,TimeAwareM1_12Band,0.9931,0.8371,0.9588,0.8938,2407.46,87.13
phase3_time,31_F,TimeAwareM1_24Hour,0.9923,0.8162,0.949,0.8776,2406.66,87.1
phase3_time,31_F,TimeAwareM1_48Bucket,0.9919,0.8199,0.9453,0.8781,2405.97,87.08
phase3_time,5_F,TimeAwareM1_6Band,0.8987,0.3934,0.7592,0.5182,1757.72,63.62
phase3_time,5_F,TimeAwareM1_12Band,0.8931,0.3823,0.7481,0.506,1749.62,63.32
phase3_time,5_F,TimeAwareM1_24Hour,0.8861,0.382,0.7388,0.5036,1739.3,62.95
phase3_time,5_F,TimeAwareM1_48Bucket,0.8805,0.3733,0.7166,0.4909,1731.2,62.66
phase3_time,2_F,TimeAwareM1_6Band,0.9609,0.6296,0.8793,0.7338,1692.19,61.24
phase3_time,2_F,TimeAwareM1_12Band,0.9702,0.6232,0.8742,0.7277,1705.8,61.74
phase3_time,2_F,TimeAwareM1_24Hour,0.9693,0.6164,0.8605,0.7183,1704.44,61.69
phase3_time,2_F,TimeAwareM1_48Bucket,0.9628,0.6007,0.8491,0.7036,1695.37,61.36
phase3_time,35_F,TimeAwareM1_6Band,0.981,0.6496,0.8954,0.7529,2353.06,85.16
phase3_time,35_F,TimeAwareM1_12Band,0.9823,0.6529,0.8958,0.7553,2355.32,85.25
phase3_time,35_F,TimeAwareM1_24Hour,0.981,0.6146,0.8703,0.7204,2353.18,85.17
phase3_time,35_F,TimeAwareM1_48Bucket,0.9823,0.6014,0.8378,0.7002,2354.89,85.23
phase3_time,19_F,TimeAwareM1_6Band,0.9354,0.7087,0.9189,0.8002,1767.66,63.98
phase3_time,19_F,TimeAwareM1_12Band,0.9366,0.6976,0.9114,0.7903,1769.67,64.05
phase3_time,19_F,TimeAwareM1_24Hour,0.9387,0.6953,0.907,0.7871,1772.51,64.15
phase3_time,19_F,TimeAwareM1_48Bucket,0.9387,0.6924,0.902,0.7834,1772.55,64.15
phase3_time,34_F,TimeAwareM1_6Band,0.9692,0.612,0.8711,0.7189,2248.67,81.39
phase3_time,34_F,TimeAwareM1_12Band,0.9726,0.6176,0.8765,0.7247,2253.68,81.57
phase3_time,34_F,TimeAwareM1_24Hour,0.9726,0.5988,0.8591,0.7057,2253.68,81.57
phase3_time,34_F,TimeAwareM1_48Bucket,0.9658,0.6392,0.8656,0.7354,2241.49,81.13
phase3_time,28_F,TimeAwareM1_6Band,0.8535,0.3619,0.7326,0.4845,1804.39,65.31
phase3_time,28_F,TimeAwareM1_12Band,0.8468,0.3547,0.7234,0.476,1794.75,64.96
phase3_time,28_F,TimeAwareM1_24Hour,0.8434,0.3441,0.7105,0.4636,1789.61,64.77
phase3_time,28_F,TimeAwareM1_48Bucket,0.8428,0.3399,0.6949,0.4565,1788.69,64.74
