phase,user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
phase4_order,31_F,M2_Naive,0.9935,0.8263,0.9551,0.886,2408.45,87.17
phase4_order,31_F,M2_Laplace_001,0.9935,0.8263,0.9551,0.886,2408.45,87.17
phase4_order,31_F,M2_Laplace_010,0.9935,0.8263,0.9551,0.886,2408.45,87.17
phase4_order,31_F,M2_Laplace_050,0.9935,0.8263,0.9551,0.886,2408.45,87.17
phase4_order,31_F,M2_Backoff_3,0.9931,0.8272,0.9567,0.8873,2407.76,87.14
phase4_order,31_F,M2_Backoff_5,0.9935,0.8257,0.9569,0.8865,2408.35,87.16
phase4_order,31_F,M2_Backoff_10,0.9935,0.8247,0.9567,0.8858,2408.45,87.17
phase4_order,31_F,M2_JM_K3,0.9939,0.8299,0.9606,0.8905,2409.04,87.19
phase4_order,31_F,M2_JM_K5,0.9935,0.8291,0.9604,0.89,2408.45,87.17
phase4_order,31_F,M2_JM_K10,0.9935,0.8269,0.9598,0.8884,2408.45,87.17
phase4_order,5_F,M2_Naive,0.8896,0.4034,0.7511,0.5249,1744.56,63.14
phase4_order,5_F,M2_Laplace_001,0.8896,0.4034,0.7511,0.5249,1744.56,63.14
phase4_order,5_F,M2_Laplace_010,0.8896,0.4034,0.7511,0.5249,1744.56,63.14
phase4_order,5_F,M2_Laplace_050,0.8896,0.4034,0.7511,0.5249,1744.56,63.14
phase4_order,5_F,M2_Backoff_3,0.8931,0.4007,0.7617,0.5251,1749.62,63.32
phase4_order,5_F,M2_Backoff_5,0.8906,0.3991,0.7643,0.5243,1746.13,63.2
phase4_order,5_F,M2_Backoff_10,0.8952,0.4055,0.7704,0.5314,1752.57,63.43
phase4_order,5_F,M2_JM_K3,0.8947,0.4055,0.7733,0.532,1751.83,63.4
phase4_order,5_F,M2_JM_K5,0.8942,0.4054,0.7732,0.532,1751.09,63.38
phase4_order,5_F,M2_JM_K10,0.8987,0.4121,0.778,0.5388,1757.72,63.62
phase4_order,2_F,M2_Naive,0.9553,0.7061,0.9123,0.7961,1684.94,60.98
phase4_order,2_F,M2_Laplace_001,0.9553,0.7061,0.9123,0.7961,1684.94,60.98
phase4_order,2_F,M2_Laplace_010,0.9553,0.7061,0.9123,0.7961,1684.94,60.98
phase4_order,2_F,M2_Laplace_050,0.9553,0.7061,0.9123,0.7961,1684.94,60.98
phase4_order,2_F,M2_Backoff_3,0.9572,0.7052,0.9167,0.7972,1687.66,61.08
phase4_order,2_F,M2_Backoff_5,0.9581,0.7055,0.9196,0.7984,1689.02,61.13
phase4_order,2_F,M2_Backoff_10,0.9581,0.7058,0.921,0.7992,1689.02,61.13
phase4_order,2_F,M2_JM_K3,0.9562,0.6983,0.9205,0.7942,1686.3,61.03
phase4_order,2_F,M2_JM_K5,0.9572,0.6998,0.921,0.7953,1687.66,61.08
phase4_order,2_F,M2_JM_K10,0.9618,0.7045,0.9226,0.7989,1694.47,61.33
phase4_order,35_F,M2_Naive,0.9817,0.7096,0.9119,0.7981,2354.33,85.21
phase4_order,35_F,M2_Laplace_001,0.9817,0.7096,0.9119,0.7981,2354.33,85.21
phase4_order,35_F,M2_Laplace_010,0.9817,0.7096,0.9119,0.7981,2354.33,85.21
phase4_order,35_F,M2_Laplace_050,0.9817,0.7096,0.9119,0.7981,2354.33,85.21
phase4_order,35_F,M2_Backoff_3,0.9823,0.7071,0.917,0.7985,2355.05,85.24
phase4_order,35_F,M2_Backoff_5,0.9837,0.7066,0.9181,0.7986,2357.31,85.32
phase4_order,35_F,M2_Backoff_10,0.9837,0.7091,0.9202,0.801,2357.03,85.31
phase4_order,35_F,M2_JM_K3,0.9823,0.7103,0.9246,0.8034,2355.32,85.25
phase4_order,35_F,M2_JM_K5,0.9823,0.7103,0.9246,0.8034,2355.32,85.25
phase4_order,35_F,M2_JM_K10,0.9857,0.7037,0.9223,0.7983,2360.29,85.42
phase4_order,19_F,M2_Naive,0.9373,0.7401,0.9251,0.8223,1771.04,64.1
phase4_order,19_F,M2_Laplace_001,0.9373,0.7401,0.9251,0.8223,1771.04,64.1
phase4_order,19_F,M2_Laplace_010,0.9373,0.7401,0.9251,0.8223,1771.04,64.1
phase4_order,19_F,M2_Laplace_050,0.9373,0.7401,0.9251,0.8223,1771.04,64.1
phase4_order,19_F,M2_Backoff_3,0.9377,0.7363,0.9286,0.8214,1771.5,64.11
phase4_order,19_F,M2_Backoff_5,0.9392,0.7336,0.9288,0.8197,1773.91,64.2
phase4_order,19_F,M2_Backoff_10,0.9401,0.7329,0.9292,0.8195,1775.11,64.25
phase4_order,19_F,M2_JM_K3,0.9373,0.7328,0.932,0.8205,1771.1,64.1
phase4_order,19_F,M2_JM_K5,0.9365,0.7332,0.9322,0.8208,1769.84,64.05
phase4_order,19_F,M2_JM_K10,0.9366,0.7371,0.9334,0.8237,1769.85,64.06
phase4_order,34_F,M2_Naive,0.976,0.6473,0.8698,0.7422,2259.28,81.77
phase4_order,34_F,M2_Laplace_001,0.976,0.6473,0.8698,0.7422,2259.28,81.77
phase4_order,34_F,M2_Laplace_010,0.976,0.6473,0.8698,0.7422,2259.28,81.77
phase4_order,34_F,M2_Laplace_050,0.976,0.6473,0.8698,0.7422,2259.28,81.77
phase4_order,34_F,M2_Backoff_3,0.9795,0.6284,0.8821,0.734,2263.69,81.93
phase4_order,34_F,M2_Backoff_5,0.976,0.6366,0.8941,0.7437,2258.69,81.75
phase4_order,34_F,M2_Backoff_10,0.9726,0.6338,0.8939,0.7417,2253.68,81.57
phase4_order,34_F,M2_JM_K3,0.9726,0.6451,0.9009,0.7518,2252.29,81.52
phase4_order,34_F,M2_JM_K5,0.9726,0.6451,0.9009,0.7518,2252.29,81.52
phase4_order,34_F,M2_JM_K10,0.9726,0.6451,0.9009,0.7518,2252.29,81.52
phase4_order,28_F,M2_Naive,0.8535,0.3686,0.7192,0.4874,1804.95,65.33
phase4_order,28_F,M2_Laplace_001,0.8535,0.3686,0.7192,0.4874,1804.95,65.33
phase4_order,28_F,M2_Laplace_010,0.8535,0.3686,0.7192,0.4874,1804.95,65.33
phase4_order,28_F,M2_Laplace_050,0.8535,0.3686,0.7192,0.4874,1804.95,65.33
phase4_order,28_F,M2_Backoff_3,0.8554,0.3605,0.7307,0.4828,1807.63,65.42
phase4_order,28_F,M2_Backoff_5,0.8562,0.3603,0.735,0.4836,1808.8,65.47
phase4_order,28_F,M2_Backoff_10,0.8597,0.3663,0.7408,0.4902,1813.06,65.62
phase4_order,28_F,M2_JM_K3,0.8557,0.3708,0.7466,0.4955,1807.95,65.43
phase4_order,28_F,M2_JM_K5,0.857,0.3715,0.7472,0.4963,1809.9,65.5
phase4_order,28_F,M2_JM_K10,0.8573,0.375,0.75,0.5,1809.67,65.5
phase4_order,33_F,M2_Naive,0.9017,0.6609,0.8938,0.7599,2009.59,72.73
phase4_order,33_F,M2_Laplace_001,0.9017,0.6609,0.8938,0.7599,2009.59,72.73
phase4_order,33_F,M2_Laplace_010,0.9017,0.6609,0.8938,0.7599,2009.59,72.73
phase4_order,33_F,M2_Laplace_050,0.9017,0.6609,0.8938,0.7599,2009.59,72.73
phase4_order,33_F,M2_Backoff_3,0.9045,0.6491,0.8976,0.7534,2013.58,72.88
phase4_order,33_F,M2_Backoff_5,0.9068,0.6482,0.8997,0.7535,2016.55,72.98
phase4_order,33_F,M2_Backoff_10,0.9065,0.6485,0.9007,0.7541,2016.08,72.97
phase4_order,33_F,M2_JM_K3,0.902,0.6506,0.903,0.7563,2009.59,72.73
phase4_order,33_F,M2_JM_K5,0.9042,0.6505,0.903,0.7562,2012.66,72.84
phase4_order,33_F,M2_JM_K10,0.9045,0.6517,0.9034,0.7572,2013.14,72.86
phase4_order,18_F,M2_Naive,0.9298,0.7616,0.9342,0.8391,1412.91,51.14
phase4_order,18_F,M2_Laplace_001,0.9298,0.7616,0.9342,0.8391,1412.91,51.14
phase4_order,18_F,M2_Laplace_010,0.9298,0.7616,0.9342,0.8391,1412.91,51.14
phase4_order,18_F,M2_Laplace_050,0.9298,0.7616,0.9342,0.8391,1412.91,51.14
phase4_order,18_F,M2_Backoff_3,0.9324,0.7569,0.9365,0.8372,1416.64,51.27
phase4_order,18_F,M2_Backoff_5,0.9359,0.7573,0.9379,0.838,1421.69,51.45
phase4_order,18_F,M2_Backoff_10,0.9382,0.7568,0.9382,0.8378,1425.01,51.57
phase4_order,18_F,M2_JM_K3,0.9361,0.7573,0.9398,0.8387,1422.02,51.47
phase4_order,18_F,M2_JM_K5,0.9356,0.7581,0.94,0.8393,1421.27,51.44
phase4_order,18_F,M2_JM_K10,0.9352,0.7591,0.9403,0.8401,1420.71,51.42
phase4_order,11_F,M2_Naive,0.93,0.5623,0.849,0.6766,1840.08,66.6
phase4_order,11_F,M2_Laplace_001,0.93,0.5623,0.849,0.6766,1840.08,66.6
phase4_order,11_F,M2_Laplace_010,0.93,0.5623,0.849,0.6766,1840.08,66.6
phase4_order,11_F,M2_Laplace_050,0.93,0.5623,0.849,0.6766,1840.08,66.6
phase4_order,11_F,M2_Backoff_3,0.933,0.5567,0.8551,0.6743,1844.41,66.75
phase4_order,11_F,M2_Backoff_5,0.9326,0.5559,0.8576,0.6746,1843.85,66.73
phase4_order,11_F,M2_Backoff_10,0.9338,0.5581,0.8596,0.6768,1845.39,66.79
phase4_order,11_F,M2_JM_K3,0.9338,0.5586,0.8635,0.6784,1845.43,66.79
phase4_order,11_F,M2_JM_K5,0.9338,0.5578,0.8631,0.6777,1845.43,66.79
phase4_order,11_F,M2_JM_K10,0.933,0.5593,0.8639,0.679,1844.33,66.75
phase4_order,14_F,M2_Naive,0.9828,0.7345,0.8951,0.8069,2354.47,85.21
phase4_order,14_F,M2_Laplace_001,0.9828,0.7345,0.8951,0.8069,2354.47,85.21
phase4_order,14_F,M2_Laplace_010,0.9828,0.7345,0.8951,0.8069,2354.47,85.21
phase4_order,14_F,M2_Laplace_050,0.9828,0.7345,0.8951,0.8069,2354.47,85.21
phase4_order,14_F,M2_Backoff_3,0.9811,0.7528,0.9175,0.8271,2351.96,85.12
phase4_order,14_F,M2_Backoff_5,0.9759,0.7536,0.9182,0.8278,2344.43,84.85
phase4_order,14_F,M2_Backoff_10,0.9811,0.7562,0.921,0.8305,2351.96,85.12
phase4_order,14_F,M2_JM_K3,0.9777,0.7279,0.9304,0.8168,2346.94,84.94
phase4_order,14_F,M2_JM_K5,0.9794,0.7281,0.9305,0.8169,2349.45,85.03
phase4_order,14_F,M2_JM_K10,0.9794,0.7281,0.9305,0.8169,2349.45,85.03
phase4_order,20_M,M2_Naive,0.8768,0.3912,0.6667,0.4931,2005.06,72.57
phase4_order,20_M,M2_Laplace_001,0.8768,0.3912,0.6667,0.4931,2005.06,72.57
phase4_order,20_M,M2_Laplace_010,0.8768,0.3912,0.6667,0.4931,2005.06,72.57
phase4_order,20_M,M2_Laplace_050,0.8768,0.3912,0.6667,0.4931,2005.06,72.57
phase4_order,20_M,M2_Backoff_3,0.882,0.3166,0.6854,0.4331,2012.79,72.85
phase4_order,20_M,M2_Backoff_5,0.8908,0.3171,0.6906,0.4346,2025.65,73.31
phase4_order,20_M,M2_Backoff_10,0.8961,0.3161,0.6933,0.4342,2033.38,73.59
phase4_order,20_M,M2_JM_K3,0.9014,0.3208,0.7025,0.4404,2041.1,73.87
phase4_order,20_M,M2_JM_K5,0.9014,0.3208,0.7025,0.4404,2041.1,73.87
phase4_order,20_M,M2_JM_K10,0.8944,0.3206,0.7023,0.4402,2030.8,73.5
phase4_order,12_M,M2_Naive,0.7829,0.414,0.7568,0.5352,1329.16,48.11
phase4_order,12_M,M2_Laplace_001,0.7829,0.414,0.7568,0.5352,1329.16,48.11
phase4_order,12_M,M2_Laplace_010,0.7829,0.414,0.7568,0.5352,1329.16,48.11
phase4_order,12_M,M2_Laplace_050,0.7829,0.414,0.7568,0.5352,1329.16,48.11
phase4_order,12_M,M2_Backoff_3,0.7803,0.4048,0.7647,0.5294,1325.18,47.96
phase4_order,12_M,M2_Backoff_5,0.7848,0.4054,0.7716,0.5316,1331.95,48.21
phase4_order,12_M,M2_Backoff_10,0.7919,0.4158,0.7803,0.5425,1342.1,48.57
phase4_order,12_M,M2_JM_K3,0.8057,0.4154,0.7803,0.5421,1362.32,49.31
phase4_order,12_M,M2_JM_K5,0.8054,0.4153,0.7803,0.5421,1361.86,49.29
phase4_order,12_M,M2_JM_K10,0.8083,0.4183,0.7824,0.5452,1365.95,49.44
phase4_order,16_F,M2_Naive,0.9399,0.6725,0.8721,0.7594,2148.33,77.75
phase4_order,16_F,M2_Laplace_001,0.9399,0.6725,0.8721,0.7594,2148.33,77.75
phase4_order,16_F,M2_Laplace_010,0.9399,0.6725,0.8721,0.7594,2148.33,77.75
phase4_order,16_F,M2_Laplace_050,0.9399,0.6725,0.8721,0.7594,2148.33,77.75
phase4_order,16_F,M2_Backoff_3,0.9415,0.6735,0.8822,0.7639,2150.61,77.84
phase4_order,16_F,M2_Backoff_5,0.9423,0.6669,0.8823,0.7596,2151.75,77.88
phase4_order,16_F,M2_Backoff_10,0.9423,0.668,0.8843,0.7611,2151.59,77.87
phase4_order,16_F,M2_JM_K3,0.9392,0.6644,0.9082,0.7674,2147.03,77.71
phase4_order,16_F,M2_JM_K5,0.9376,0.6685,0.9098,0.7707,2144.75,77.62
phase4_order,16_F,M2_JM_K10,0.9384,0.6708,0.9106,0.7725,2145.89,77.67
phase4_order,21_F,M2_Naive,0.9068,0.3791,0.6748,0.4855,1904.86,68.94
phase4_order,21_F,M2_Laplace_001,0.9068,0.3791,0.6748,0.4855,1904.86,68.94
phase4_order,21_F,M2_Laplace_010,0.9068,0.3791,0.6748,0.4855,1904.86,68.94
