phase,user_id,policy,hit_rate,precision,recall,f1,latency_saved_ms,latency_saved_pct
phase7_rl,31_F,RL_Threshold,0.9927,0.8561,0.9422,0.8971,2406.85,87.11
phase7_rl,31_F,RL_PrecisionFocus,0.9919,0.8835,0.9706,0.925,2405.87,87.07
phase7_rl,31_F,RL_RecallFocus,0.9919,0.8835,0.9706,0.925,2405.87,87.07
phase7_rl,31_F,RL_F1Reward,0.9927,0.8561,0.9422,0.8971,2406.85,87.11
phase7_rl,31_F,RL_LatencyFocus,0.9927,0.8742,0.9533,0.912,2406.85,87.11
phase7_rl,5_F,RL_Threshold,0.8821,0.4673,0.7222,0.5675,1733.51,62.74
phase7_rl,5_F,RL_PrecisionFocus,0.8795,0.4134,0.776,0.5394,1729.82,62.61
phase7_rl,5_F,RL_RecallFocus,0.8795,0.4134,0.776,0.5394,1729.82,62.61
phase7_rl,5_F,RL_F1Reward,0.8821,0.4671,0.7214,0.5671,1733.51,62.74
phase7_rl,5_F,RL_LatencyFocus,0.8821,0.4359,0.7629,0.5548,1733.51,62.74
phase7_rl,2_F,RL_Threshold,0.9581,0.614,0.8264,0.7045,1689.48,61.15
phase7_rl,2_F,RL_PrecisionFocus,0.9581,0.6827,0.912,0.7809,1689.48,61.15
phase7_rl,2_F,RL_RecallFocus,0.9581,0.6827,0.912,0.7809,1689.48,61.15
phase7_rl,2_F,RL_F1Reward,0.9572,0.6152,0.8263,0.7053,1688.12,61.1
phase7_rl,2_F,RL_LatencyFocus,0.9581,0.6838,0.8991,0.7768,1689.48,61.15
phase7_rl,35_F,RL_Threshold,0.9803,0.7607,0.8988,0.824,2352.34,85.14
phase7_rl,35_F,RL_PrecisionFocus,0.9803,0.7532,0.9351,0.8344,2352.34,85.14
phase7_rl,35_F,RL_RecallFocus,0.9803,0.7532,0.9351,0.8344,2352.34,85.14
phase7_rl,35_F,RL_F1Reward,0.9803,0.7616,0.8988,0.8245,2352.34,85.14
phase7_rl,35_F,RL_LatencyFocus,0.9796,0.7754,0.9066,0.8359,2351.35,85.1
phase7_rl,19_F,RL_Threshold,0.9431,0.7117,0.8784,0.7863,1779.33,64.4
phase7_rl,19_F,RL_PrecisionFocus,0.945,0.6981,0.9173,0.7928,1781.94,64.49
phase7_rl,19_F,RL_RecallFocus,0.945,0.6981,0.9173,0.7928,1781.94,64.49
phase7_rl,19_F,RL_F1Reward,0.9431,0.7116,0.8783,0.7862,1779.33,64.4
phase7_rl,19_F,RL_LatencyFocus,0.9433,0.7058,0.9081,0.7943,1779.58,64.41
phase7_rl,34_F,RL_Threshold,0.9521,0.7112,0.8699,0.7826,2222.85,80.45
phase7_rl,34_F,RL_PrecisionFocus,0.9692,0.665,0.9024,0.7657,2247.88,81.36
phase7_rl,34_F,RL_RecallFocus,0.9692,0.665,0.9024,0.7657,2247.88,81.36
phase7_rl,34_F,RL_F1Reward,0.9521,0.7133,0.8699,0.7838,2222.85,80.45
phase7_rl,34_F,RL_LatencyFocus,0.9555,0.7343,0.8825,0.8016,2227.85,80.63
phase7_rl,28_F,RL_Threshold,0.8645,0.4767,0.7291,0.5765,1820.47,65.89
phase7_rl,28_F,RL_PrecisionFocus,0.8613,0.425,0.7847,0.5514,1815.92,65.72
phase7_rl,28_F,RL_RecallFocus,0.8613,0.425,0.7847,0.5514,1815.92,65.72
phase7_rl,28_F,RL_F1Reward,0.8645,0.4766,0.729,0.5764,1820.47,65.89
phase7_rl,28_F,RL_LatencyFocus,0.8661,0.446,0.7691,0.5646,1822.82,65.97
