threshold,f1,std_f1,precision,recall,hit_rate,latency_saved,delta_f1,n_users
0.02,0.753,0.1261,0.6748,0.8628,0.9346,2000.83,0.0106,31
0.04,0.7532,0.1258,0.6754,0.8624,0.9343,2000.4,0.0108,31
0.06,0.7548,0.1244,0.6777,0.8623,0.934,2000.0,0.0124,31
0.08,0.7548,0.1241,0.678,0.862,0.9329,1998.38,0.0124,31
0.1,0.755,0.124,0.6783,0.8617,0.9325,1997.77,0.0126,31
0.12,0.7554,0.1239,0.6792,0.8613,0.9317,1996.57,0.013,31
0.14,0.7557,0.1234,0.6799,0.8611,0.9312,1995.79,0.0133,31
0.16,0.7564,0.1228,0.681,0.861,0.9308,1995.22,0.014,31
0.18,0.7563,0.1229,0.681,0.8607,0.9304,1994.65,0.0139,31
0.2,0.7564,0.1228,0.6814,0.8604,0.9299,1993.99,0.014,31
