weights,w_trans,w_rec,w_freq,threshold,f1,std_f1,precision,recall,hit_rate,latency_saved,delta_f1,n_users
w0.5_r0.1_f0.4,0.5,0.1,0.4,0.1,0.7733,0.0874,0.7798,0.7723,0.9326,1997.91,0.0309,31
w0.6_r0.2_f0.2,0.6,0.2,0.2,0.1,0.7732,0.0988,0.7364,0.8153,0.9332,1998.76,0.0308,31
w0.7_r0.2_f0.1,0.7,0.2,0.1,0.1,0.7723,0.1012,0.7369,0.813,0.9336,1999.36,0.0299,31
w0.4_r0.1_f0.5,0.4,0.1,0.5,0.1,0.7721,0.0862,0.7804,0.7704,0.9312,1995.82,0.0297,31
w0.6_r0.1_f0.3,0.6,0.1,0.3,0.1,0.7718,0.0874,0.7765,0.7716,0.9331,1998.7,0.0294,31
w0.7_r0.1_f0.2,0.7,0.1,0.2,0.1,0.7695,0.0881,0.7715,0.7716,0.9335,1999.26,0.0271,31
w0.5_r0.2_f0.3,0.5,0.2,0.3,0.1,0.7678,0.097,0.7261,0.8164,0.9325,1997.77,0.0254,31
w0.4_r0.2_f0.4,0.4,0.2,0.4,0.1,0.7624,0.0943,0.7174,0.8157,0.9311,1995.69,0.02,31
w0.7_r0.3_f0.0,0.7,0.3,0.0,0.1,0.7579,0.1241,0.6825,0.8623,0.9334,1999.2,0.0155,31
w0.6_r0.3_f0.1,0.6,0.3,0.1,0.1,0.7562,0.1237,0.68,0.862,0.9331,1998.68,0.0138,31
w0.5_r0.3_f0.2,0.5,0.3,0.2,0.1,0.755,0.124,0.6783,0.8617,0.9325,1997.77,0.0126,31
w0.4_r0.3_f0.3,0.4,0.3,0.3,0.1,0.7542,0.1241,0.6777,0.8607,0.9311,1995.72,0.0118,31
w0.6_r0.4_f0.0,0.6,0.4,0.0,0.1,0.7478,0.131,0.6647,0.8677,0.9328,1998.27,0.0054,31
w0.5_r0.4_f0.1,0.5,0.4,0.1,0.1,0.7468,0.1314,0.6636,0.867,0.9323,1997.51,0.0044,31
w0.4_r0.4_f0.2,0.4,0.4,0.2,0.1,0.7461,0.1305,0.663,0.8659,0.931,1995.58,0.0037,31
